"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","Adjective_3.stopped","vowelcount.stopped","resp1.rt","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
30,"SENSITIVE","n",50,"b",0,-160,"s",32,0,46,46,46,NA,NA,"",NA,1,796.412772341107,797.433236110286,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,797.433236110286,797.433236110286,797.433236110286,797.433236110286,797.433236110286,797.433236110286,797.433236110286,30,804.454059416981,804.454059416981,804.454059416981,804.454059416981,804.454059416981,804.454059416981,804.454059416981,804.454059416981,804.454059416981,804.454059416981,804.454059416981,804.454059416981,804.454059416981,804.454059416981,804.454059416981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,2
50,"UNIMPORTANT","n",30,"g",-160,0,"s",26,0,57,57,57,NA,NA,"",NA,1.517,945.594709394732,947.120982936758,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,947.120982936758,947.120982936758,947.120982936758,947.120982936758,947.120982936758,947.120982936758,947.120982936758,40,954.149361934775,954.149361934775,954.149361934775,954.149361934775,954.149361934775,954.149361934775,954.149361934775,954.149361934775,954.149361934775,954.149361934775,954.149361934775,954.149361934775,954.149361934775,954.149361934775,954.149361934775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,3
60,"UNDESIRABLE","n",25,"g",-200,80,"s",22,0,56,56,56,NA,NA,"",NA,1.617,929.968008560623,931.595282265364,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,931.595282265364,931.595282265364,931.595282265364,931.595282265364,931.595282265364,931.595282265364,931.595282265364,35,938.620040573122,938.620040573122,938.620040573122,938.620040573122,938.620040573122,938.620040573122,938.620040573122,938.620040573122,938.620040573122,938.620040573122,938.620040573122,938.620040573122,938.620040573122,938.620040573122,938.620040573122,NA,NA,0.902258714515483,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,2
0,"HELPLESS","n",20,"b",-240,-400,"b",44,0,10,10,10,NA,NA,"",NA,1.684,298.548928384902,300.242102122284,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,300.242102122284,300.242102122284,300.242102122284,300.242102122284,300.242102122284,300.242102122284,300.242102122284,0,307.26379924154,307.26379924154,307.26379924154,307.26379924154,307.26379924154,307.26379924154,307.26379924154,307.26379924154,307.26379924154,307.26379924154,307.26379924154,307.26379924154,307.26379924154,307.26379924154,307.26379924154,NA,NA,0.983467534097144,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,1
70,"INTELLIGENT","p",80,"g",240,160,"b",10,0,13,13,13,NA,NA,"",NA,1.3,338.46070090463,339.770767555601,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,339.770767555601,339.770767555601,339.770767555601,339.770767555601,339.770767555601,339.770767555601,339.770767555601,80,346.796003729629,346.796003729629,346.796003729629,346.796003729629,346.796003729629,346.796003729629,346.796003729629,346.796003729629,346.796003729629,346.796003729629,346.796003729629,346.796003729629,346.796003729629,346.796003729629,346.796003729629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,5
0,"INFERIOR","n",15,"b",-280,-400,"b",45,0,11,11,11,NA,NA,"",NA,1.25,314.260447351087,315.517196074215,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,315.517196074215,315.517196074215,315.517196074215,315.517196074215,315.517196074215,315.517196074215,315.517196074215,0,322.542821367912,322.542821367912,322.542821367912,322.542821367912,322.542821367912,322.542821367912,322.542821367912,322.542821367912,322.542821367912,322.542821367912,322.542821367912,322.542821367912,322.542821367912,322.542821367912,322.542821367912,NA,NA,0.417233563959599,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,1
25,"NEEDY","n",40,"b",-80,-200,"s",35,0,38,38,38,NA,NA,"",NA,1.15,688.931250120891,690.107501419378,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,690.107501419378,690.107501419378,690.107501419378,690.107501419378,690.107501419378,690.107501419378,690.107501419378,25,697.127249242505,697.127249242505,697.127249242505,697.127249242505,697.127249242505,697.127249242505,697.127249242505,697.127249242505,697.127249242505,697.127249242505,697.127249242505,697.127249242505,697.127249242505,697.127249242505,697.127249242505,NA,NA,1.2521441403951,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,3
60,"HUMBLE","p",75,"g",200,80,"s",23,0,50,50,50,NA,NA,"",NA,1.167,846.107368583936,847.285270512133,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,847.285270512133,847.285270512133,847.285270512133,847.285270512133,847.285270512133,847.285270512133,847.285270512133,70,854.309040376276,854.309040376276,854.309040376276,854.309040376276,854.309040376276,854.309040376276,854.309040376276,854.309040376276,854.309040376276,854.309040376276,854.309040376276,854.309040376276,854.309040376276,854.309040376276,854.309040376276,NA,NA,0.973959986673435,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,3
70,"CARELESS","n",40,"g",-80,160,"s",11,0,34,34,34,NA,NA,"",NA,2.534,630.034413197282,632.583575964236,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,632.583575964236,632.583575964236,632.583575964236,632.583575964236,632.583575964236,632.583575964236,632.583575964236,70,639.602226970543,639.602226970543,639.602226970543,639.602226970543,639.602226970543,639.602226970543,639.602226970543,639.602226970543,639.602226970543,639.602226970543,639.602226970543,639.602226970543,639.602226970543,639.602226970543,639.602226970543,NA,NA,1.20955032785423,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,4
70,"SUCCESSFUL","p",55,"b",40,160,"s",12,0,6,6,6,NA,NA,"",NA,1.9,249.531115351216,251.44439428745,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,251.44439428745,251.44439428745,251.44439428745,251.44439428745,251.44439428745,251.44439428745,251.44439428745,65,258.465673558181,258.465673558181,258.465673558181,258.465673558181,258.465673558181,258.465673558181,258.465673558181,258.465673558181,258.465673558181,258.465673558181,258.465673558181,258.465673558181,258.465673558181,258.465673558181,258.465673558181,NA,NA,1.06858404813102,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,5
