"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_3.stopped","vowelcount.stopped","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective2.stopped","text_own.stopped","rate_own.stopped","sign.stopped","text_base.stopped","num_base.stopped","sign_base.stopped","note.started","note.stopped","participant","session","date","expName","psychopyVersion","frameRate","np"
80,"SENSITIVE","n",40,"g",-80,240,"s",14,0,2,2,2,NA,NA,"",NA,1.217,177.7226531,178.9423431,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,178.9423431,178.9423431,178.9423431,178.9423431,178.9423431,178.9423431,178.9423431,50,185.9674502,185.9674502,185.9674502,185.9674502,185.9674502,185.9674502,185.9674502,185.9674502,185.9674502,185.9674502,185.9674502,185.9674502,185.9674502,185.9674502,185.9674502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304,1,"2023-09-08_16h20.57.382","SELFtaskv6","2023.1.2",414.6812303,4
10,"UNIMPORTANT","n",20,"b",-240,-320,"s",38,0,31,31,31,NA,NA,"",NA,2.25,570.6940602,572.9435597,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,572.9435597,572.9435597,572.9435597,572.9435597,572.9435597,572.9435597,572.9435597,15,579.9649078,579.9649078,579.9649078,579.9649078,579.9649078,579.9649078,579.9649078,579.9649078,579.9649078,579.9649078,579.9649078,579.9649078,579.9649078,579.9649078,579.9649078,2.235120004,NA,NA,NA,NA,NA,NA,NA,NA,NA,304,1,"2023-09-08_16h20.57.382","SELFtaskv6","2023.1.2",414.6812303,1
10,"UNDESIRABLE","n",15,"b",-280,-320,"s",39,0,33,33,33,NA,NA,"",NA,2.684,595.4998993,598.1870264,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,598.1870264,598.1870264,598.1870264,598.1870264,598.1870264,598.1870264,598.1870264,5,605.2119136,605.2119136,605.2119136,605.2119136,605.2119136,605.2119136,605.2119136,605.2119136,605.2119136,605.2119136,605.2119136,605.2119136,605.2119136,605.2119136,605.2119136,2.336851246,NA,NA,NA,NA,NA,NA,NA,NA,NA,304,1,"2023-09-08_16h20.57.382","SELFtaskv6","2023.1.2",414.6812303,1
80,"INTELLIGENT","p",70,"b",160,240,"s",15,0,47,47,47,NA,NA,"",NA,1.517,793.2646027,794.7808643,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,794.7808643,794.7808643,794.7808643,794.7808643,794.7808643,794.7808643,794.7808643,90,801.7999312,801.7999312,801.7999312,801.7999312,801.7999312,801.7999312,801.7999312,801.7999312,801.7999312,801.7999312,801.7999312,801.7999312,801.7999312,801.7999312,801.7999312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304,1,"2023-09-08_16h20.57.382","SELFtaskv6","2023.1.2",414.6812303,4
10,"INFERIOR","n",10,"b",-320,-320,"s",40,0,25,25,25,NA,NA,"",NA,1.05,484.814767,485.8646159,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,485.8646159,485.8646159,485.8646159,485.8646159,485.8646159,485.8646159,485.8646159,10,492.8870673,492.8870673,492.8870673,492.8870673,492.8870673,492.8870673,492.8870673,492.8870673,492.8870673,492.8870673,492.8870673,492.8870673,492.8870673,492.8870673,492.8870673,1.826753187,NA,NA,NA,NA,NA,NA,NA,NA,NA,304,1,"2023-09-08_16h20.57.382","SELFtaskv6","2023.1.2",414.6812303,2
25,"ANNOYING","n",15,"g",-280,-200,"s",29,0,45,45,45,NA,NA,"",NA,2.901,761.3591284,764.2591257,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,764.2591257,764.2591257,764.2591257,764.2591257,764.2591257,764.2591257,764.2591257,10,771.2780139,771.2780139,771.2780139,771.2780139,771.2780139,771.2780139,771.2780139,771.2780139,771.2780139,771.2780139,771.2780139,771.2780139,771.2780139,771.2780139,771.2780139,1.84883887,771.2780139,771.2780139,771.2780139,771.2780139,771.2780139,771.2780139,771.2780139,NA,NA,304,1,"2023-09-08_16h20.57.382","SELFtaskv6","2023.1.2",414.6812303,2
70,"CHEERFUL","p",75,"g",200,160,"s",22,0,56,56,56,NA,NA,"",NA,1.617,911.553331,913.171,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,913.171,913.171,913.171,913.171,913.171,913.171,913.171,65,920.1898117,920.1898117,920.1898117,920.1898117,920.1898117,920.1898117,920.1898117,920.1898117,920.1898117,920.1898117,920.1898117,920.1898117,920.1898117,920.1898117,920.1898117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304,1,"2023-09-08_16h20.57.382","SELFtaskv6","2023.1.2",414.6812303,4
15,"WEAK","n",30,"b",-160,-280,"s",34,0,1,1,1,NA,NA,"",NA,1.684,162.0282021,163.7159166,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,163.7159166,163.7159166,163.7159166,163.7159166,163.7159166,163.7159166,163.7159166,20,170.7399388,170.7399388,170.7399388,170.7399388,170.7399388,170.7399388,170.7399388,170.7399388,170.7399388,170.7399388,170.7399388,170.7399388,170.7399388,170.7399388,170.7399388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304,1,"2023-09-08_16h20.57.382","SELFtaskv6","2023.1.2",414.6812303,2
5,"ASHAMED","n",20,"b",-240,-360,"b",44,0,10,10,10,NA,NA,"",NA,1.684,281.2630157,282.9476369,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,282.9476369,282.9476369,282.9476369,282.9476369,282.9476369,282.9476369,282.9476369,25,289.9653524,289.9653524,289.9653524,289.9653524,289.9653524,289.9653524,289.9653524,289.9653524,289.9653524,289.9653524,289.9653524,289.9653524,289.9653524,289.9653524,289.9653524,NA,289.9653524,289.9653524,289.9653524,289.9653524,289.9653524,289.9653524,289.9653524,NA,NA,304,1,"2023-09-08_16h20.57.382","SELFtaskv6","2023.1.2",414.6812303,1
20,"CARELESS","n",40,"b",-80,-240,"s",32,0,46,46,46,NA,NA,"",NA,1,778.258872,779.2582322,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,779.2582322,779.2582322,779.2582322,779.2582322,779.2582322,779.2582322,779.2582322,25,786.276681,786.276681,786.276681,786.276681,786.276681,786.276681,786.276681,786.276681,786.276681,786.276681,786.276681,786.276681,786.276681,786.276681,786.276681,1.659165395,786.276681,786.276681,786.276681,786.276681,786.276681,786.276681,786.276681,NA,NA,304,1,"2023-09-08_16h20.57.382","SELFtaskv6","2023.1.2",414.6812303,2
10,"SUCCESSFUL","p",60,"g",80,-320,"b",41,0,26,26,26,NA,NA,"",NA,1.05,499.8761467,500.926086,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,500.926086,500.926086,500.926086,500.926086,500.926086,500.926086,500.926086,90,507.9440822,507.9440822,507.9440822,507.9440822,507.9440822,507.9440822,507.9440822,507.9440822,507.9440822,507.9440822,507.9440822,507.9440822,507.9440822,507.9440822,507.9440822,5.144649914,507.9440822,507.9440822,507.9440822,507.9440822,507.9440822,507.9440822,507.9440822,NA,NA,304,1,"2023-09-08_16h20.57.382","SELFtaskv6","2023.1.2",414.6812303,5
30,"BORING","n",35,"b",-120,-160,"s",27,0,58,58,58,NA,NA,"",NA,1.667,942.6878658,944.3592123,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,944.3592123,944.3592123,944.3592123,944.3592123,944.3592123,944.3592123,944.3592123,30,951.3767153,951.3767153,951.3767153,951.3767153,951.3767153,951.3767153,951.3767153,951.3767153,951.3767153,951.3767153,951.3767153,951.3767153,951.3767153,951.3767153,951.3767153,1.712861664,NA,NA,NA,NA,NA,NA,NA,NA,NA,304,1,"2023-09-08_16h20.57.382","SELFtaskv6","2023.1.2",414.6812303,2
90,"VALUABLE","p",65,"b",120,320,"b",9,0,27,27,27,NA,NA,"",NA,2.35,514.9407784,517.2907738,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,517.2907738,517.2907738,517.2907738,517.2907738,517.2907738,517.2907738,517.2907738,100,524.3092712,524.3092712,524.3092712,524.3092712,524.3092712,524.3092712,524.3092712,524.3092712,524.3092712,524.3092712,524.3092712,524.3092712,524.3092712,524.3092712,524.3092712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304,1,"2023-09-08_16h20.57.382","SELFtaskv6","2023.1.2",414.6812303,5
