"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","note.started","participant","session","date","expName","psychopyVersion","frameRate","np"
70,"SENSITIVE","n",50,"g",0,160,"s",11,0,34,34,34,NA,NA,"",NA,2.534,626.0321231,628.5801326,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,628.5801326,628.5801326,628.5801326,628.5801326,628.5801326,628.5801326,628.5801326,65,635.6044981,635.6044981,635.6044981,635.6044981,635.6044981,635.6044981,635.6044981,635.6044981,635.6044981,635.6044981,635.6044981,635.6044981,635.6044981,635.6044981,635.6044981,NA,NA,305,1,"2023-09-15_13h59.09.313","SELFtaskv6","2023.1.2",375.1242544,4
25,"UNIMPORTANT","n",35,"b",-120,-200,"b",41,0,26,26,26,NA,NA,"",NA,1.05,513.5587615,514.6286537,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,514.6286537,514.6286537,514.6286537,514.6286537,514.6286537,514.6286537,514.6286537,30,521.6481401,521.6481401,521.6481401,521.6481401,521.6481401,521.6481401,521.6481401,521.6481401,521.6481401,521.6481401,521.6481401,521.6481401,521.6481401,521.6481401,521.6481401,NA,NA,305,1,"2023-09-15_13h59.09.313","SELFtaskv6","2023.1.2",375.1242544,2
30,"UNDESIRABLE","n",35,"b",-120,-160,"s",38,0,31,31,31,NA,NA,"",NA,2.25,584.4788284,586.746119,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,586.746119,586.746119,586.746119,586.746119,586.746119,586.746119,586.746119,35,593.7664314,593.7664314,593.7664314,593.7664314,593.7664314,593.7664314,593.7664314,593.7664314,593.7664314,593.7664314,593.7664314,593.7664314,593.7664314,593.7664314,593.7664314,1.362254585,NA,305,1,"2023-09-15_13h59.09.313","SELFtaskv6","2023.1.2",375.1242544,1
40,"HELPLESS","n",20,"g",-240,-80,"s",36,0,15,15,15,NA,NA,"",NA,1.7,359.8028428,361.5173191,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,361.5173191,361.5173191,361.5173191,361.5173191,361.5173191,361.5173191,361.5173191,25,368.5356274,368.5356274,368.5356274,368.5356274,368.5356274,368.5356274,368.5356274,368.5356274,368.5356274,368.5356274,368.5356274,368.5356274,368.5356274,368.5356274,368.5356274,NA,NA,305,1,"2023-09-15_13h59.09.313","SELFtaskv6","2023.1.2",375.1242544,1
30,"ORDINARY","n",45,"b",-40,-160,"s",39,0,33,33,33,NA,NA,"",NA,2.684,609.329868,612.0300717,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,612.0300717,612.0300717,612.0300717,612.0300717,612.0300717,612.0300717,612.0300717,35,619.0545991,619.0545991,619.0545991,619.0545991,619.0545991,619.0545991,619.0545991,619.0545991,619.0545991,619.0545991,619.0545991,619.0545991,619.0545991,619.0545991,619.0545991,NA,NA,305,1,"2023-09-15_13h59.09.313","SELFtaskv6","2023.1.2",375.1242544,2
80,"INTELLIGENT","p",65,"b",120,240,"b",6,0,4,4,4,NA,NA,"",NA,1.417,214.2220839,215.6554151,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,215.6554151,215.6554151,215.6554151,215.6554151,215.6554151,215.6554151,215.6554151,75,222.6773,222.6773,222.6773,222.6773,222.6773,222.6773,222.6773,222.6773,222.6773,222.6773,222.6773,222.6773,222.6773,222.6773,222.6773,NA,NA,305,1,"2023-09-15_13h59.09.313","SELFtaskv6","2023.1.2",375.1242544,5
30,"INFERIOR","n",20,"g",-240,-160,"s",40,0,25,25,25,NA,NA,"",NA,1.05,498.4784279,499.5457004,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,499.5457004,499.5457004,499.5457004,499.5457004,499.5457004,499.5457004,499.5457004,25,506.5649282,506.5649282,506.5649282,506.5649282,506.5649282,506.5649282,506.5649282,506.5649282,506.5649282,506.5649282,506.5649282,506.5649282,506.5649282,506.5649282,506.5649282,NA,NA,305,1,"2023-09-15_13h59.09.313","SELFtaskv6","2023.1.2",375.1242544,1
65,"ANNOYING","n",35,"g",-120,120,"s",19,0,19,19,19,NA,NA,"",NA,1.367,415.9273179,417.3134277,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,417.3134277,417.3134277,417.3134277,417.3134277,417.3134277,417.3134277,417.3134277,45,424.3307239,424.3307239,424.3307239,424.3307239,424.3307239,424.3307239,424.3307239,424.3307239,424.3307239,424.3307239,424.3307239,424.3307239,424.3307239,424.3307239,424.3307239,NA,NA,305,1,"2023-09-15_13h59.09.313","SELFtaskv6","2023.1.2",375.1242544,2
60,"LIKABLE","p",65,"g",120,80,"s",26,0,57,57,57,NA,NA,"",NA,1.517,941.5114089,943.0391728,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,943.0391728,943.0391728,943.0391728,943.0391728,943.0391728,943.0391728,943.0391728,65,950.0659771,950.0659771,950.0659771,950.0659771,950.0659771,950.0659771,950.0659771,950.0659771,950.0659771,950.0659771,950.0659771,950.0659771,950.0659771,950.0659771,950.0659771,NA,NA,305,1,"2023-09-15_13h59.09.313","SELFtaskv6","2023.1.2",375.1242544,4
70,"CHEERFUL","p",60,"b",80,160,"s",12,0,6,6,6,NA,NA,"",NA,1.9,245.6713764,247.5860542,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,247.5860542,247.5860542,247.5860542,247.5860542,247.5860542,247.5860542,247.5860542,70,254.6081086,254.6081086,254.6081086,254.6081086,254.6081086,254.6081086,254.6081086,254.6081086,254.6081086,254.6081086,254.6081086,254.6081086,254.6081086,254.6081086,254.6081086,NA,NA,305,1,"2023-09-15_13h59.09.313","SELFtaskv6","2023.1.2",375.1242544,4
