"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","note.started","participant","session","date","expName","psychopyVersion","frameRate","np"
60,"SENSITIVE","n",45,"g",-40,80,"s",24,0,51,51,51,NA,NA,"",NA,2.167,848.9713021,851.1465623,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,851.1465623,851.1465623,851.1465623,851.1465623,851.1465623,851.1465623,851.1465623,60,858.1714216,858.1714216,858.1714216,858.1714216,858.1714216,858.1714216,858.1714216,858.1714216,858.1714216,858.1714216,858.1714216,858.1714216,858.1714216,858.1714216,858.1714216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,1,"2023-10-13_14h21.29.342","SELFtaskv6","2023.1.2",59.93611929,2
25,"UNIMPORTANT","n",35,"b",-120,-200,"s",35,0,38,38,38,NA,NA,"",NA,1.15,676.6308252,677.7928516,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,677.7928516,677.7928516,677.7928516,677.7928516,677.7928516,677.7928516,677.7928516,25,684.8164924,684.8164924,684.8164924,684.8164924,684.8164924,684.8164924,684.8164924,684.8164924,684.8164924,684.8164924,684.8164924,684.8164924,684.8164924,684.8164924,684.8164924,1.144242062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,1,"2023-10-13_14h21.29.342","SELFtaskv6","2023.1.2",59.93611929,1
0,"UNDESIRABLE","n",20,"b",-240,-400,"b",44,0,10,10,10,NA,NA,"",NA,1.684,286.3844901,288.0791615,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,288.0791615,288.0791615,288.0791615,288.0791615,288.0791615,288.0791615,288.0791615,5,295.1064064,295.1064064,295.1064064,295.1064064,295.1064064,295.1064064,295.1064064,295.1064064,295.1064064,295.1064064,295.1064064,295.1064064,295.1064064,295.1064064,295.1064064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,1,"2023-10-13_14h21.29.342","SELFtaskv6","2023.1.2",59.93611929,1
0,"HELPLESS","n",15,"b",-280,-400,"b",45,0,11,11,11,NA,NA,"",NA,1.25,302.0786298,303.3355076,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,303.3355076,303.3355076,303.3355076,303.3355076,303.3355076,303.3355076,303.3355076,0,310.3614296,310.3614296,310.3614296,310.3614296,310.3614296,310.3614296,310.3614296,310.3614296,310.3614296,310.3614296,310.3614296,310.3614296,310.3614296,310.3614296,310.3614296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,1,"2023-10-13_14h21.29.342","SELFtaskv6","2023.1.2",59.93611929,1
70,"ORDINARY","n",30,"g",-160,160,"s",21,0,20,20,20,NA,NA,"",NA,1.567,423.048832,424.6238544,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,424.6238544,424.6238544,424.6238544,424.6238544,424.6238544,424.6238544,424.6238544,70,431.6499502,431.6499502,431.6499502,431.6499502,431.6499502,431.6499502,431.6499502,431.6499502,431.6499502,431.6499502,431.6499502,431.6499502,431.6499502,431.6499502,431.6499502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,1,"2023-10-13_14h21.29.342","SELFtaskv6","2023.1.2",59.93611929,3
75,"INTELLIGENT","p",65,"b",120,200,"b",10,0,13,13,13,NA,NA,"",NA,1.3,326.2465283,327.5549659,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,327.5549659,327.5549659,327.5549659,327.5549659,327.5549659,327.5549659,327.5549659,75,334.5790854,334.5790854,334.5790854,334.5790854,334.5790854,334.5790854,334.5790854,334.5790854,334.5790854,334.5790854,334.5790854,334.5790854,334.5790854,334.5790854,334.5790854,2.394799787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,1,"2023-10-13_14h21.29.342","SELFtaskv6","2023.1.2",59.93611929,4
20,"ANNOYING","n",35,"b",-120,-240,"s",36,0,15,15,15,NA,NA,"",NA,1.7,351.5313525,353.243004,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,353.243004,353.243004,353.243004,353.243004,353.243004,353.243004,353.243004,20,360.2645589,360.2645589,360.2645589,360.2645589,360.2645589,360.2645589,360.2645589,360.2645589,360.2645589,360.2645589,360.2645589,360.2645589,360.2645589,360.2645589,360.2645589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,1,"2023-10-13_14h21.29.342","SELFtaskv6","2023.1.2",59.93611929,3
70,"LIKABLE","p",70,"g",160,160,"s",22,0,56,56,56,NA,NA,"",NA,1.617,917.6541366,919.2795876,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,919.2795876,919.2795876,919.2795876,919.2795876,919.2795876,919.2795876,919.2795876,70,926.3033515,926.3033515,926.3033515,926.3033515,926.3033515,926.3033515,926.3033515,926.3033515,926.3033515,926.3033515,926.3033515,926.3033515,926.3033515,926.3033515,926.3033515,2.331254329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,1,"2023-10-13_14h21.29.342","SELFtaskv6","2023.1.2",59.93611929,5
35,"WEAK","n",25,"g",-200,-120,"s",31,0,16,16,16,NA,NA,"",NA,2.35,367.2406033,369.6008727,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,369.6008727,369.6008727,369.6008727,369.6008727,369.6008727,369.6008727,369.6008727,30,376.6249008,376.6249008,376.6249008,376.6249008,376.6249008,376.6249008,376.6249008,376.6249008,376.6249008,376.6249008,376.6249008,376.6249008,376.6249008,376.6249008,376.6249008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,1,"2023-10-13_14h21.29.342","SELFtaskv6","2023.1.2",59.93611929,3
20,"ASHAMED","n",10,"g",-320,-240,"s",37,0,23,23,23,NA,NA,"",NA,2.934,463.7451162,466.6875657,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,466.6875657,466.6875657,466.6875657,466.6875657,466.6875657,466.6875657,466.6875657,15,473.7128064,473.7128064,473.7128064,473.7128064,473.7128064,473.7128064,473.7128064,473.7128064,473.7128064,473.7128064,473.7128064,473.7128064,473.7128064,473.7128064,473.7128064,1.807886222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,1,"2023-10-13_14h21.29.342","SELFtaskv6","2023.1.2",59.93611929,2
