"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
30,"SENSITIVE","n",45,"b",-40,-160,"s",28,0,53,53,53,NA,NA,"",NA,2.634,858.075630364445,860.726417635553,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,860.726417635553,860.726417635553,860.726417635553,860.726417635553,860.726417635553,860.726417635553,860.726417635553,20,867.745394346668,867.745394346668,867.745394346668,867.745394346668,867.745394346668,867.745394346668,867.745394346668,867.745394346668,867.745394346668,867.745394346668,867.745394346668,867.745394346668,867.745394346668,867.745394346668,867.745394346668,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,2
20,"UNIMPORTANT","n",45,"b",-40,-240,"s",32,0,46,46,46,NA,NA,"",NA,1,767.07841308444,768.095891342222,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,768.095891342222,768.095891342222,768.095891342222,768.095891342222,768.095891342222,768.095891342222,768.095891342222,10,775.113576675547,775.113576675547,775.113576675547,775.113576675547,775.113576675547,775.113576675547,775.113576675547,775.113576675547,775.113576675547,775.113576675547,775.113576675547,775.113576675547,775.113576675547,775.113576675547,775.113576675547,1.70104803555296,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,1
50,"INTELLIGENT","p",65,"g",120,0,"s",17,0,35,35,35,NA,NA,"",NA,2.4,617.324195840003,619.738276408883,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,619.738276408883,619.738276408883,619.738276408883,619.738276408883,619.738276408883,619.738276408883,619.738276408883,50,626.759446755546,626.759446755546,626.759446755546,626.759446755546,626.759446755546,626.759446755546,626.759446755546,626.759446755546,626.759446755546,626.759446755546,626.759446755546,626.759446755546,626.759446755546,626.759446755546,626.759446755546,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,5
10,"INFERIOR","n",20,"b",-240,-320,"b",42,0,37,37,37,NA,NA,"",NA,1.867,643.733646222216,645.616256568886,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,645.616256568886,645.616256568886,645.616256568886,645.616256568886,645.616256568886,645.616256568886,645.616256568886,10,652.641204622225,652.641204622225,652.641204622225,652.641204622225,652.641204622225,652.641204622225,652.641204622225,652.641204622225,652.641204622225,652.641204622225,652.641204622225,652.641204622225,652.641204622225,652.641204622225,652.641204622225,0.351466097767116,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,3
15,"ANNOYING","n",30,"b",-160,-280,"s",38,0,31,31,31,NA,NA,"",NA,2.25,559.212672568887,561.479639893325,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,561.479639893325,561.479639893325,561.479639893325,561.479639893325,561.479639893325,561.479639893325,561.479639893325,15,568.497688462216,568.497688462216,568.497688462216,568.497688462216,568.497688462216,568.497688462216,568.497688462216,568.497688462216,568.497688462216,568.497688462216,568.497688462216,568.497688462216,568.497688462216,568.497688462216,568.497688462216,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,3
30,"WEAK","n",30,"b",-160,-160,"s",29,0,45,45,45,NA,NA,"",NA,2.901,750.162013013338,753.07814001778,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,753.07814001778,753.07814001778,753.07814001778,753.07814001778,753.07814001778,753.07814001778,753.07814001778,40,760.098086968894,760.098086968894,760.098086968894,760.098086968894,760.098086968894,760.098086968894,760.098086968894,760.098086968894,760.098086968894,760.098086968894,760.098086968894,760.098086968894,760.098086968894,760.098086968894,760.098086968894,5.70802432000346,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,3
50,"NEEDY","n",20,"g",160,0,"s",18,0,17,17,17,NA,NA,"",NA,1.467,366.629397617769,368.109969919999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,368.109969919999,368.109969919999,368.109969919999,368.109969919999,368.109969919999,368.109969919999,368.109969919999,40,375.132857457778,375.132857457778,375.132857457778,375.132857457778,375.132857457778,375.132857457778,375.132857457778,375.132857457778,375.132857457778,375.132857457778,375.132857457778,375.132857457778,375.132857457778,375.132857457778,375.132857457778,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,2
10,"CARELESS","n",45,"b",-40,-320,"b",43,0,21,21,21,NA,NA,"",NA,1.934,421.651221333334,423.602800355555,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,423.602800355555,423.602800355555,423.602800355555,423.602800355555,423.602800355555,423.602800355555,423.602800355555,30,430.620980337771,430.620980337771,430.620980337771,430.620980337771,430.620980337771,430.620980337771,430.620980337771,430.620980337771,430.620980337771,430.620980337771,430.620980337771,430.620980337771,430.620980337771,430.620980337771,430.620980337771,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,2
45,"SUCCESSFUL","p",50,"g",0,-40,"s",25,0,54,54,54,NA,NA,"",NA,2.167,874.733226382217,876.913644088883,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,876.913644088883,876.913644088883,876.913644088883,876.913644088883,876.913644088883,876.913644088883,876.913644088883,45,883.934199466661,883.934199466661,883.934199466661,883.934199466661,883.934199466661,883.934199466661,883.934199466661,883.934199466661,883.934199466661,883.934199466661,883.934199466661,883.934199466661,883.934199466661,883.934199466661,883.934199466661,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,5
20,"BORING","n",25,"b",-200,-240,"s",33,0,8,8,8,NA,NA,"",NA,2.217,244.40549973333,246.63567217777,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,246.63567217777,246.63567217777,246.63567217777,246.63567217777,246.63567217777,246.63567217777,246.63567217777,20,253.662542222213,253.662542222213,253.662542222213,253.662542222213,253.662542222213,253.662542222213,253.662542222213,253.662542222213,253.662542222213,253.662542222213,253.662542222213,253.662542222213,253.662542222213,253.662542222213,253.662542222213,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,3
