"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","resp1.rt","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
60,"SENSITIVE","n",55,"g",40,80,"s",11,0,34,34,34,NA,NA,"",NA,2.534,620.054048426682,622.607358577778,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,622.607358577778,622.607358577778,622.607358577778,622.607358577778,622.607358577778,622.607358577778,622.607358577778,80,629.633762986632,629.633762986632,629.633762986632,629.633762986632,629.633762986632,629.633762986632,629.633762986632,629.633762986632,629.633762986632,629.633762986632,629.633762986632,629.633762986632,629.633762986632,629.633762986632,629.633762986632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,2
15,"UNIMPORTANT","n",35,"b",-120,-280,"b",44,0,10,10,10,NA,NA,"",NA,1.684,288.608686648891,290.307111822185,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,290.307111822185,290.307111822185,290.307111822185,290.307111822185,290.307111822185,290.307111822185,290.307111822185,35,297.333030684502,297.333030684502,297.333030684502,297.333030684502,297.333030684502,297.333030684502,297.333030684502,297.333030684502,297.333030684502,297.333030684502,297.333030684502,297.333030684502,297.333030684502,297.333030684502,297.333030684502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,1
25,"HELPLESS","n",35,"b",-120,-200,"b",42,0,37,37,37,NA,NA,"",NA,1.867,663.027425279957,664.906412657816,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,664.906412657816,664.906412657816,664.906412657816,664.906412657816,664.906412657816,664.906412657816,664.906412657816,25,671.931417884422,671.931417884422,671.931417884422,671.931417884422,671.931417884422,671.931417884422,671.931417884422,671.931417884422,671.931417884422,671.931417884422,671.931417884422,671.931417884422,671.931417884422,671.931417884422,671.931417884422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,1
60,"ORDINARY","n",55,"g",-40,80,"s",12,0,6,6,6,NA,NA,"",NA,1.9,239.599786382169,241.518010879983,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,241.518010879983,241.518010879983,241.518010879983,241.518010879983,241.518010879983,241.518010879983,241.518010879983,55,248.545071217814,248.545071217814,248.545071217814,248.545071217814,248.545071217814,248.545071217814,248.545071217814,248.545071217814,248.545071217814,248.545071217814,248.545071217814,248.545071217814,248.545071217814,248.545071217814,248.545071217814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,3
60,"INTELLIGENT","p",55,"b",40,80,"s",13,0,41,41,41,NA,NA,"",NA,1.984,720.435011413298,722.428489386686,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,722.428489386686,722.428489386686,722.428489386686,722.428489386686,722.428489386686,722.428489386686,722.428489386686,65,729.456704568933,729.456704568933,729.456704568933,729.456704568933,729.456704568933,729.456704568933,729.456704568933,729.456704568933,729.456704568933,729.456704568933,729.456704568933,729.456704568933,729.456704568933,729.456704568933,729.456704568933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,5
15,"INFERIOR","n",30,"b",-160,-280,"b",45,0,11,11,11,NA,NA,"",NA,1.25,304.311634773389,305.579879253288,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,305.579879253288,305.579879253288,305.579879253288,305.579879253288,305.579879253288,305.579879253288,305.579879253288,15,312.607705884497,312.607705884497,312.607705884497,312.607705884497,312.607705884497,312.607705884497,312.607705884497,312.607705884497,312.607705884497,312.607705884497,312.607705884497,312.607705884497,312.607705884497,312.607705884497,312.607705884497,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46358926221728,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,1
25,"ANNOYING","n",30,"b",-160,-200,"b",43,0,21,21,21,NA,NA,"",NA,1.934,440.895319324452,442.845129102236,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,442.845129102236,442.845129102236,442.845129102236,442.845129102236,442.845129102236,442.845129102236,442.845129102236,40,449.872925013304,449.872925013304,449.872925013304,449.872925013304,449.872925013304,449.872925013304,449.872925013304,449.872925013304,449.872925013304,449.872925013304,449.872925013304,449.872925013304,449.872925013304,449.872925013304,449.872925013304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,2
60,"CHEERFUL","p",40,"b",-80,80,"s",14,0,2,2,2,NA,NA,"",NA,1.217,184.834303146694,186.063548017759,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,186.063548017759,186.063548017759,186.063548017759,186.063548017759,186.063548017759,186.063548017759,186.063548017759,60,193.089629297727,193.089629297727,193.089629297727,193.089629297727,193.089629297727,193.089629297727,193.089629297727,193.089629297727,193.089629297727,193.089629297727,193.089629297727,193.089629297727,193.089629297727,193.089629297727,193.089629297727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,4
45,"WEAK","n",30,"g",-160,-40,"s",31,0,16,16,16,NA,NA,"",NA,2.35,369.481987413368,371.843498097733,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,371.843498097733,371.843498097733,371.843498097733,371.843498097733,371.843498097733,371.843498097733,371.843498097733,40,378.872775111115,378.872775111115,378.872775111115,378.872775111115,378.872775111115,378.872775111115,378.872775111115,378.872775111115,378.872775111115,378.872775111115,378.872775111115,378.872775111115,378.872775111115,378.872775111115,378.872775111115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,2
60,"NEEDY","n",30,"g",-160,80,"s",15,0,47,47,47,NA,NA,"",NA,1.517,801.436014933279,802.966466844431,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,802.966466844431,802.966466844431,802.966466844431,802.966466844431,802.966466844431,802.966466844431,802.966466844431,50,809.995967146708,809.995967146708,809.995967146708,809.995967146708,809.995967146708,809.995967146708,809.995967146708,809.995967146708,809.995967146708,809.995967146708,809.995967146708,809.995967146708,809.995967146708,809.995967146708,809.995967146708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,3
65,"CARELESS","n",40,"g",-80,120,"b",9,0,27,27,27,NA,NA,"",NA,2.35,522.650970168877,525.021418382181,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,525.021418382181,525.021418382181,525.021418382181,525.021418382181,525.021418382181,525.021418382181,525.021418382181,75,532.047942826641,532.047942826641,532.047942826641,532.047942826641,532.047942826641,532.047942826641,532.047942826641,532.047942826641,532.047942826641,532.047942826641,532.047942826641,532.047942826641,532.047942826641,532.047942826641,532.047942826641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,2
