"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","resp.rt","note.started","participant","session","date","expName","psychopyVersion","frameRate","np"
85,"SENSITIVE","n",45,"g",-40,280,"b",8,0,5,5,5,NA,NA,"",NA,1.984,212.5477726,214.550776,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",214.550776,214.550776,214.550776,214.550776,214.550776,214.550776,214.550776,85,221.5738251,221.5738251,221.5738251,221.5738251,221.5738251,221.5738251,221.5738251,221.5738251,221.5738251,221.5738251,221.5738251,221.5738251,221.5738251,221.5738251,221.5738251,2.302859947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,1,"2023-10-27_15h56.23.070","SELFtaskv6","2023.1.2",59.87956383,3
10,"UNDESIRABLE","n",15,"b",-280,-320,"b",44,0,10,10,10,NA,NA,"",NA,1.684,277.553385,279.2496327,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",279.2496327,279.2496327,279.2496327,279.2496327,279.2496327,279.2496327,279.2496327,10,286.2718239,286.2718239,286.2718239,286.2718239,286.2718239,286.2718239,286.2718239,286.2718239,286.2718239,286.2718239,286.2718239,286.2718239,286.2718239,286.2718239,286.2718239,2.358524302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,1,"2023-10-27_15h56.23.070","SELFtaskv6","2023.1.2",59.87956383,1
35,"ORDINARY","n",50,"b",0,-120,"s",38,0,31,31,31,NA,NA,"",NA,2.25,567.4530256,569.7217621,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",569.7217621,569.7217621,569.7217621,569.7217621,569.7217621,569.7217621,569.7217621,40,576.7446861,576.7446861,576.7446861,576.7446861,576.7446861,576.7446861,576.7446861,576.7446861,576.7446861,576.7446861,576.7446861,576.7446861,576.7446861,576.7446861,576.7446861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,1,"2023-10-27_15h56.23.070","SELFtaskv6","2023.1.2",59.87956383,2
55,"INFERIOR","n",35,"g",-120,40,"s",32,0,46,46,46,NA,NA,"",NA,1,775.4608484,776.471721,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",776.471721,776.471721,776.471721,776.471721,776.471721,776.471721,776.471721,40,783.4926979,783.4926979,783.4926979,783.4926979,783.4926979,783.4926979,783.4926979,783.4926979,783.4926979,783.4926979,783.4926979,783.4926979,783.4926979,783.4926979,783.4926979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,1,"2023-10-27_15h56.23.070","SELFtaskv6","2023.1.2",59.87956383,2
60,"ANNOYING","n",35,"g",-120,80,"s",26,0,57,57,57,NA,NA,"",NA,1.517,924.6692727,926.2030694,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",926.2030694,926.2030694,926.2030694,926.2030694,926.2030694,926.2030694,926.2030694,50,933.2190089,933.2190089,933.2190089,933.2190089,933.2190089,933.2190089,933.2190089,933.2190089,933.2190089,933.2190089,933.2190089,933.2190089,933.2190089,933.2190089,933.2190089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,1,"2023-10-27_15h56.23.070","SELFtaskv6","2023.1.2",59.87956383,2
30,"WEAK","n",40,"b",-80,-160,"s",40,0,25,25,25,NA,NA,"",NA,1.05,481.4837623,482.5420086,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",482.5420086,482.5420086,482.5420086,482.5420086,482.5420086,482.5420086,482.5420086,30,489.565539,489.565539,489.565539,489.565539,489.565539,489.565539,489.565539,489.565539,489.565539,489.565539,489.565539,489.565539,489.565539,489.565539,489.565539,1.626013867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,1,"2023-10-27_15h56.23.070","SELFtaskv6","2023.1.2",59.87956383,2
10,"ASHAMED","n",20,"b",-240,-320,"b",45,0,11,11,11,NA,NA,"",NA,1.25,293.248374,294.5071568,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",294.5071568,294.5071568,294.5071568,294.5071568,294.5071568,294.5071568,294.5071568,10,301.5302793,301.5302793,301.5302793,301.5302793,301.5302793,301.5302793,301.5302793,301.5302793,301.5302793,301.5302793,301.5302793,301.5302793,301.5302793,301.5302793,301.5302793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,1,"2023-10-27_15h56.23.070","SELFtaskv6","2023.1.2",59.87956383,2
70,"NEEDY","n",30,"g",-160,160,"s",13,0,41,41,41,NA,NA,"",NA,1.984,709.4749181,711.4798293,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",711.4798293,711.4798293,711.4798293,711.4798293,711.4798293,711.4798293,711.4798293,55,718.4960367,718.4960367,718.4960367,718.4960367,718.4960367,718.4960367,718.4960367,718.4960367,718.4960367,718.4960367,718.4960367,718.4960367,718.4960367,718.4960367,718.4960367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,1,"2023-10-27_15h56.23.070","SELFtaskv6","2023.1.2",59.87956383,2
65,"HUMBLE","p",70,"g",160,120,"s",17,0,35,35,35,NA,NA,"",NA,2.4,625.5984333,628.0149151,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",628.0149151,628.0149151,628.0149151,628.0149151,628.0149151,628.0149151,628.0149151,60,635.0380052,635.0380052,635.0380052,635.0380052,635.0380052,635.0380052,635.0380052,635.0380052,635.0380052,635.0380052,635.0380052,635.0380052,635.0380052,635.0380052,635.0380052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,1,"2023-10-27_15h56.23.070","SELFtaskv6","2023.1.2",59.87956383,5
40,"BORING","n",35,"g",-120,-80,"s",37,0,23,23,23,NA,NA,"",NA,2.934,454.9973817,457.9430067,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",457.9430067,457.9430067,457.9430067,457.9430067,457.9430067,457.9430067,457.9430067,35,464.9650955,464.9650955,464.9650955,464.9650955,464.9650955,464.9650955,464.9650955,464.9650955,464.9650955,464.9650955,464.9650955,464.9650955,464.9650955,464.9650955,464.9650955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,1,"2023-10-27_15h56.23.070","SELFtaskv6","2023.1.2",59.87956383,3
