"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
70,"SENSITIVE","n",25,"g",-200,160,"s",14,0,2,2,2,NA,NA,"",NA,1.217,179.198113564446,180.42645873778,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,180.42645873778,180.42645873778,180.42645873778,180.42645873778,180.42645873778,180.42645873778,180.42645873778,70,187.452416284446,187.452416284446,187.452416284446,187.452416284446,187.452416284446,187.452416284446,187.452416284446,187.452416284446,187.452416284446,187.452416284446,187.452416284446,187.452416284446,187.452416284446,187.452416284446,187.452416284446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,1,"2023-12-15_14h00.26.000","SELFtaskv6","2023.1.2",60.0050692279038,NA,2
25,"UNIMPORTANT","n",10,"g",-320,-200,"s",31,0,16,16,16,NA,NA,"",NA,2.35,363.832411022224,366.195177528891,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,366.195177528891,366.195177528891,366.195177528891,366.195177528891,366.195177528891,366.195177528891,366.195177528891,25,373.219977671113,373.219977671113,373.219977671113,373.219977671113,373.219977671113,373.219977671113,373.219977671113,373.219977671113,373.219977671113,373.219977671113,373.219977671113,373.219977671113,373.219977671113,373.219977671113,373.219977671113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,1,"2023-12-15_14h00.26.000","SELFtaskv6","2023.1.2",60.0050692279038,NA,1
0,"UNDESIRABLE","n",10,"b",-320,-400,"s",39,0,33,33,33,NA,NA,"",NA,2.684,597.665307875555,600.360304355556,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,600.360304355556,600.360304355556,600.360304355556,600.360304355556,600.360304355556,600.360304355556,600.360304355556,0,607.386469831112,607.386469831112,607.386469831112,607.386469831112,607.386469831112,607.386469831112,607.386469831112,607.386469831112,607.386469831112,607.386469831112,607.386469831112,607.386469831112,607.386469831112,607.386469831112,607.386469831112,0.750008319999324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,1,"2023-12-15_14h00.26.000","SELFtaskv6","2023.1.2",60.0050692279038,NA,1
0,"HELPLESS","n",15,"b",-280,-400,"s",40,0,25,25,25,NA,NA,"",NA,1.05,486.853083875558,487.913623608889,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,487.913623608889,487.913623608889,487.913623608889,487.913623608889,487.913623608889,487.913623608889,487.913623608889,0,494.936666168891,494.936666168891,494.936666168891,494.936666168891,494.936666168891,494.936666168891,494.936666168891,494.936666168891,494.936666168891,494.936666168891,494.936666168891,494.936666168891,494.936666168891,494.936666168891,494.936666168891,2.80671089777752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,1,"2023-12-15_14h00.26.000","SELFtaskv6","2023.1.2",60.0050692279038,NA,1
50,"ORDINARY","n",20,"g",-240,0,"s",28,0,53,53,53,NA,NA,"",NA,2.634,871.745186986667,874.390709191113,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,874.390709191113,874.390709191113,874.390709191113,874.390709191113,874.390709191113,874.390709191113,874.390709191113,50,881.415182506669,881.415182506669,881.415182506669,881.415182506669,881.415182506669,881.415182506669,881.415182506669,881.415182506669,881.415182506669,881.415182506669,881.415182506669,881.415182506669,881.415182506669,881.415182506669,881.415182506669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,1,"2023-12-15_14h00.26.000","SELFtaskv6","2023.1.2",60.0050692279038,NA,3
0,"INFERIOR","n",10,"b",-320,-400,"b",41,0,26,26,26,NA,NA,"",NA,1.05,501.930312248889,502.990434986667,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,502.990434986667,502.990434986667,502.990434986667,502.990434986667,502.990434986667,502.990434986667,502.990434986667,0,510.015561955555,510.015561955555,510.015561955555,510.015561955555,510.015561955555,510.015561955555,510.015561955555,510.015561955555,510.015561955555,510.015561955555,510.015561955555,510.015561955555,510.015561955555,510.015561955555,510.015561955555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,1,"2023-12-15_14h00.26.000","SELFtaskv6","2023.1.2",60.0050692279038,NA,1
0,"ANNOYING","n",15,"b",-280,-400,"b",42,0,37,37,37,NA,NA,"",NA,1.867,657.325724444447,659.202338702224,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,659.202338702224,659.202338702224,659.202338702224,659.202338702224,659.202338702224,659.202338702224,659.202338702224,0,666.226581617779,666.226581617779,666.226581617779,666.226581617779,666.226581617779,666.226581617779,666.226581617779,666.226581617779,666.226581617779,666.226581617779,666.226581617779,666.226581617779,666.226581617779,666.226581617779,666.226581617779,0.664865279999503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,1,"2023-12-15_14h00.26.000","SELFtaskv6","2023.1.2",60.0050692279038,NA,1
0,"WEAK","n",10,"b",-320,-400,"b",43,0,21,21,21,NA,NA,"",NA,1.934,435.222983111111,437.17394744889,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,437.17394744889,437.17394744889,437.17394744889,437.17394744889,437.17394744889,437.17394744889,437.17394744889,0,444.19979064889,444.19979064889,444.19979064889,444.19979064889,444.19979064889,444.19979064889,444.19979064889,444.19979064889,444.19979064889,444.19979064889,444.19979064889,444.19979064889,444.19979064889,444.19979064889,444.19979064889,1.65462812444457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,1,"2023-12-15_14h00.26.000","SELFtaskv6","2023.1.2",60.0050692279038,NA,1
0,"ASHAMED","n",10,"b",-320,-400,"b",44,0,10,10,10,NA,NA,"",NA,1.684,282.957211306668,284.649908337778,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,284.649908337778,284.649908337778,284.649908337778,284.649908337778,284.649908337778,284.649908337778,284.649908337778,0,291.673784888892,291.673784888892,291.673784888892,291.673784888892,291.673784888892,291.673784888892,291.673784888892,291.673784888892,291.673784888892,291.673784888892,291.673784888892,291.673784888892,291.673784888892,291.673784888892,291.673784888892,2.84499740444153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,1,"2023-12-15_14h00.26.000","SELFtaskv6","2023.1.2",60.0050692279038,NA,1
15,"NEEDY","n",10,"g",-320,-280,"s",38,0,31,31,31,NA,NA,"",NA,2.25,572.812999395555,575.070383502225,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,575.070383502225,575.070383502225,575.070383502225,575.070383502225,575.070383502225,575.070383502225,575.070383502225,10,582.099475626666,582.099475626666,582.099475626666,582.099475626666,582.099475626666,582.099475626666,582.099475626666,582.099475626666,582.099475626666,582.099475626666,582.099475626666,582.099475626666,582.099475626666,582.099475626666,582.099475626666,0.898991786667466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,1,"2023-12-15_14h00.26.000","SELFtaskv6","2023.1.2",60.0050692279038,NA,2
20,"CARELESS","n",35,"b",-120,-240,"s",36,0,15,15,15,NA,NA,"",NA,1.7,348.119685973335,349.831009848891,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,349.831009848891,349.831009848891,349.831009848891,349.831009848891,349.831009848891,349.831009848891,349.831009848891,35,356.857685333336,356.857685333336,356.857685333336,356.857685333336,356.857685333336,356.857685333336,356.857685333336,356.857685333336,356.857685333336,356.857685333336,356.857685333336,356.857685333336,356.857685333336,356.857685333336,356.857685333336,1.67768575999798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,1,"2023-12-15_14h00.26.000","SELFtaskv6","2023.1.2",60.0050692279038,NA,2
65,"SUCCESSFUL","p",75,"g",200,120,"s",20,0,29,29,29,NA,NA,"",NA,1.067,541.608354133336,542.69010688,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,542.69010688,542.69010688,542.69010688,542.69010688,542.69010688,542.69010688,542.69010688,65,549.710559573334,549.710559573334,549.710559573334,549.710559573334,549.710559573334,549.710559573334,549.710559573334,549.710559573334,549.710559573334,549.710559573334,549.710559573334,549.710559573334,549.710559573334,549.710559573334,549.710559573334,0.76584334222207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,1,"2023-12-15_14h00.26.000","SELFtaskv6","2023.1.2",60.0050692279038,NA,5
20,"BORING","n",15,"g",-280,-240,"s",37,0,23,23,23,NA,NA,"",NA,2.934,460.351517582225,463.292709262223,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,463.292709262223,463.292709262223,463.292709262223,463.292709262223,463.292709262223,463.292709262223,463.292709262223,20,470.320170382223,470.320170382223,470.320170382223,470.320170382223,470.320170382223,470.320170382223,470.320170382223,470.320170382223,470.320170382223,470.320170382223,470.320170382223,470.320170382223,470.320170382223,470.320170382223,470.320170382223,2.61058702221999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,1,"2023-12-15_14h00.26.000","SELFtaskv6","2023.1.2",60.0050692279038,NA,2
65,"VALUABLE","p",70,"g",160,120,"s",21,0,20,20,20,NA,NA,"",NA,1.567,419.639118791114,421.21333304889,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,421.21333304889,421.21333304889,421.21333304889,421.21333304889,421.21333304889,421.21333304889,421.21333304889,70,428.240934115558,428.240934115558,428.240934115558,428.240934115558,428.240934115558,428.240934115558,428.240934115558,428.240934115558,428.240934115558,428.240934115558,428.240934115558,428.240934115558,428.240934115558,428.240934115558,428.240934115558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,1,"2023-12-15_14h00.26.000","SELFtaskv6","2023.1.2",60.0050692279038,NA,5
0,"SELFISH","n",20,"b",-240,-400,"b",45,0,11,11,11,NA,NA,"",NA,1.25,298.650822826668,299.913509546666,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,299.913509546666,299.913509546666,299.913509546666,299.913509546666,299.913509546666,299.913509546666,299.913509546666,0,306.935152640002,306.935152640002,306.935152640002,306.935152640002,306.935152640002,306.935152640002,306.935152640002,306.935152640002,306.935152640002,306.935152640002,306.935152640002,306.935152640002,306.935152640002,306.935152640002,306.935152640002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,1,"2023-12-15_14h00.26.000","SELFtaskv6","2023.1.2",60.0050692279038,NA,1
100,"ENTHUSIASTIC","p",80,"b",240,400,"b",6,0,4,4,4,NA,NA,"",NA,1.417,202.498477511112,203.929512106668,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,203.929512106668,203.929512106668,203.929512106668,203.929512106668,203.929512106668,203.929512106668,203.929512106668,100,210.954213831112,210.954213831112,210.954213831112,210.954213831112,210.954213831112,210.954213831112,210.954213831112,210.954213831112,210.954213831112,210.954213831112,210.954213831112,210.954213831112,210.954213831112,210.954213831112,210.954213831112,3.19713479111306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,1,"2023-12-15_14h00.26.000","SELFtaskv6","2023.1.2",60.0050692279038,NA,5
65,"AGREEABLE","p",75,"g",200,120,"s",22,0,56,56,56,NA,NA,"",NA,1.617,914.259280497779,915.886178702225,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,915.886178702225,915.886178702225,915.886178702225,915.886178702225,915.886178702225,915.886178702225,915.886178702225,65,922.911997440002,922.911997440002,922.911997440002,922.911997440002,922.911997440002,922.911997440002,922.911997440002,922.911997440002,922.911997440002,922.911997440002,922.911997440002,922.911997440002,922.911997440002,922.911997440002,922.911997440002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,1,"2023-12-15_14h00.26.000","SELFtaskv6","2023.1.2",60.0050692279038,NA,5
45,"LAZY","n",30,"g",-160,-40,"s",29,0,45,45,45,NA,NA,"",NA,2.901,763.784494648891,766.693177742225,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,766.693177742225,766.693177742225,766.693177742225,766.693177742225,766.693177742225,766.693177742225,766.693177742225,0,773.719878826669,773.719878826669,773.719878826669,773.719878826669,773.719878826669,773.719878826669,773.719878826669,773.719878826669,773.719878826669,773.719878826669,773.719878826669,773.719878826669,773.719878826669,773.719878826669,773.719878826669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,1,"2023-12-15_14h00.26.000","SELFtaskv6","2023.1.2",60.0050692279038,NA,3
25,"INSECURE","n",15,"g",-280,-200,"s",32,0,46,46,46,NA,NA,"",NA,1,780.696688071112,781.705675662222,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,781.705675662222,781.705675662222,781.705675662222,781.705675662222,781.705675662222,781.705675662222,781.705675662222,25,788.731082808892,788.731082808892,788.731082808892,788.731082808892,788.731082808892,788.731082808892,788.731082808892,788.731082808892,788.731082808892,788.731082808892,788.731082808892,788.731082808892,788.731082808892,788.731082808892,788.731082808892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,1,"2023-12-15_14h00.26.000","SELFtaskv6","2023.1.2",60.0050692279038,NA,1
100,"TALENTED","p",70,"b",160,400,"b",7,0,30,30,30,NA,NA,"",NA,2.117,556.68779320889,558.814892657778,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,558.814892657778,558.814892657778,558.814892657778,558.814892657778,558.814892657778,558.814892657778,558.814892657778,70,565.843368391113,565.843368391113,565.843368391113,565.843368391113,565.843368391113,565.843368391113,565.843368391113,565.843368391113,565.843368391113,565.843368391113,565.843368391113,565.843368391113,565.843368391113,565.843368391113,565.843368391113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,1,"2023-12-15_14h00.26.000","SELFtaskv6","2023.1.2",60.0050692279038,NA,5
