"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_3.stopped","vowelcount.stopped","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
60,"SENSITIVE","n",40,"g",-80,80,"s",17,0,35,35,35,NA,NA,"",NA,2.4,635.027268835554,637.436330097778,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,637.436330097778,637.436330097778,637.436330097778,637.436330097778,637.436330097778,637.436330097778,637.436330097778,40,644.459115235553,644.459115235553,644.459115235553,644.459115235553,644.459115235553,644.459115235553,644.459115235553,644.459115235553,644.459115235553,644.459115235553,644.459115235553,644.459115235553,644.459115235553,644.459115235553,644.459115235553,NA,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,3
50,"UNIMPORTANT","n",25,"g",-200,0,"s",24,0,51,51,51,NA,NA,"",NA,2.167,849.688817777776,851.874047146666,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,851.874047146666,851.874047146666,851.874047146666,851.874047146666,851.874047146666,851.874047146666,851.874047146666,25,858.898773902223,858.898773902223,858.898773902223,858.898773902223,858.898773902223,858.898773902223,858.898773902223,858.898773902223,858.898773902223,858.898773902223,858.898773902223,858.898773902223,858.898773902223,858.898773902223,858.898773902223,NA,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,3
20,"UNDESIRABLE","n",10,"g",-320,-240,"s",37,0,23,23,23,NA,NA,"",NA,2.934,464.421185991112,467.366682168889,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,467.366682168889,467.366682168889,467.366682168889,467.366682168889,467.366682168889,467.366682168889,467.366682168889,10,474.390643768889,474.390643768889,474.390643768889,474.390643768889,474.390643768889,474.390643768889,474.390643768889,474.390643768889,474.390643768889,474.390643768889,474.390643768889,474.390643768889,474.390643768889,474.390643768889,474.390643768889,NA,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,2
15,"HELPLESS","n",20,"b",-240,-280,"b",44,0,10,10,10,NA,NA,"",NA,1.684,287.02606734222,288.720492088887,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,288.720492088887,288.720492088887,288.720492088887,288.720492088887,288.720492088887,288.720492088887,288.720492088887,20,295.743929457778,295.743929457778,295.743929457778,295.743929457778,295.743929457778,295.743929457778,295.743929457778,295.743929457778,295.743929457778,295.743929457778,295.743929457778,295.743929457778,295.743929457778,295.743929457778,295.743929457778,NA,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,2
50,"ORDINARY","n",30,"g",-160,0,"s",25,0,54,54,54,NA,NA,"",NA,2.167,892.529204053331,894.70428103111,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,894.70428103111,894.70428103111,894.70428103111,894.70428103111,894.70428103111,894.70428103111,894.70428103111,30,901.728661902223,901.728661902223,901.728661902223,901.728661902223,901.728661902223,901.728661902223,901.728661902223,901.728661902223,901.728661902223,901.728661902223,901.728661902223,901.728661902223,901.728661902223,901.728661902223,901.728661902223,NA,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,3
20,"ANNOYING","n",35,"b",-120,-240,"s",38,0,31,31,31,NA,NA,"",NA,2.25,576.91871175111,579.180079786667,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,579.180079786667,579.180079786667,579.180079786667,579.180079786667,579.180079786667,579.180079786667,579.180079786667,20,586.200637724443,586.200637724443,586.200637724443,586.200637724443,586.200637724443,586.200637724443,586.200637724443,586.200637724443,586.200637724443,586.200637724443,586.200637724443,586.200637724443,586.200637724443,586.200637724443,586.200637724443,NA,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,2
70,"LIKABLE","p",55,"b",40,160,"b",7,0,30,30,30,NA,NA,"",NA,2.117,560.774414791111,562.90239232,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,562.90239232,562.90239232,562.90239232,562.90239232,562.90239232,562.90239232,562.90239232,55,569.922970737778,569.922970737778,569.922970737778,569.922970737778,569.922970737778,569.922970737778,569.922970737778,569.922970737778,569.922970737778,569.922970737778,569.922970737778,569.922970737778,569.922970737778,569.922970737778,569.922970737778,2.10810225777823,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,4
70,"CHEERFUL","p",60,"b",80,160,"b",8,0,5,5,5,NA,NA,"",NA,1.984,222.013911893333,224.007559395555,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,224.007559395555,224.007559395555,224.007559395555,224.007559395555,224.007559395555,224.007559395555,224.007559395555,55,231.030264035555,231.030264035555,231.030264035555,231.030264035555,231.030264035555,231.030264035555,231.030264035555,231.030264035555,231.030264035555,231.030264035555,231.030264035555,231.030264035555,231.030264035555,231.030264035555,231.030264035555,NA,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,4
25,"WEAK","n",15,"g",-280,-200,"s",34,0,1,1,1,NA,NA,"",NA,1.684,167.590641208888,169.285554631111,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,169.285554631111,169.285554631111,169.285554631111,169.285554631111,169.285554631111,169.285554631111,169.285554631111,15,176.316136391109,176.316136391109,176.316136391109,176.316136391109,176.316136391109,176.316136391109,176.316136391109,176.316136391109,176.316136391109,176.316136391109,176.316136391109,176.316136391109,176.316136391109,176.316136391109,176.316136391109,0.650296604446339,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,2
20,"ASHAMED","n",10,"g",-320,-240,"s",39,0,33,33,33,NA,NA,"",NA,2.684,601.768532764443,604.466088106667,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,604.466088106667,604.466088106667,604.466088106667,604.466088106667,604.466088106667,604.466088106667,604.466088106667,10,611.485376853332,611.485376853332,611.485376853332,611.485376853332,611.485376853332,611.485376853332,611.485376853332,611.485376853332,611.485376853332,611.485376853332,611.485376853332,611.485376853332,611.485376853332,611.485376853332,611.485376853332,0.991429688889184,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,3
