"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","resp1.rt","note.started","note.stopped","participant","session","date","expName","psychopyVersion","frameRate","X","np"
10,"SENSITIVE","n",40,"b",-80,-320,"b",43,0,21,21,21,NA,NA,"",NA,1.934,428.610821199996,430.549224400005,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,430.549224400005,430.549224400005,430.549224400005,430.549224400005,430.549224400005,430.549224400005,430.549224400005,10,437.561480200006,437.561480200006,437.561480200006,437.561480200006,437.561480200006,437.561480200006,437.561480200006,437.561480200006,437.561480200006,437.561480200006,437.561480200006,437.561480200006,437.561480200006,437.561480200006,437.561480200006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,1,"2024-02-02_16h27.44.710","SELFtaskv6","2023.1.0",120.0403815914,NA,3
20,"UNIMPORTANT","n",30,"b",-160,-240,"s",37,0,23,23,23,NA,NA,"",NA,2.934,453.691500000001,456.63096000001,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,456.63096000001,456.63096000001,456.63096000001,456.63096000001,456.63096000001,456.63096000001,456.63096000001,20,463.643079600006,463.643079600006,463.643079600006,463.643079600006,463.643079600006,463.643079600006,463.643079600006,463.643079600006,463.643079600006,463.643079600006,463.643079600006,463.643079600006,463.643079600006,463.643079600006,463.643079600006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,1,"2024-02-02_16h27.44.710","SELFtaskv6","2023.1.0",120.0403815914,NA,1
10,"UNDESIRABLE","n",15,"b",-280,-320,"b",44,0,10,10,10,NA,NA,"",NA,1.684,276.488197900006,278.177773300005,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,278.177773300005,278.177773300005,278.177773300005,278.177773300005,278.177773300005,278.177773300005,278.177773300005,15,285.191720800009,285.191720800009,285.191720800009,285.191720800009,285.191720800009,285.191720800009,285.191720800009,285.191720800009,285.191720800009,285.191720800009,285.191720800009,285.191720800009,285.191720800009,285.191720800009,285.191720800009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,1,"2024-02-02_16h27.44.710","SELFtaskv6","2023.1.0",120.0403815914,NA,1
5,"HELPLESS","n",20,"b",-240,-360,"b",45,0,11,11,11,NA,NA,"",NA,1.25,292.179868000007,293.443602600004,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,293.443602600004,293.443602600004,293.443602600004,293.443602600004,293.443602600004,293.443602600004,293.443602600004,10,300.452904799997,300.452904799997,300.452904799997,300.452904799997,300.452904799997,300.452904799997,300.452904799997,300.452904799997,300.452904799997,300.452904799997,300.452904799997,300.452904799997,300.452904799997,300.452904799997,300.452904799997,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.40380820000428,NA,NA,347,1,"2024-02-02_16h27.44.710","SELFtaskv6","2023.1.0",120.0403815914,NA,1
50,"ORDINARY","n",30,"g",-160,0,"s",18,0,17,17,17,NA,NA,"",NA,1.467,373.6598638,375.133275400003,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,375.133275400003,375.133275400003,375.133275400003,375.133275400003,375.133275400003,375.133275400003,375.133275400003,45,382.144797700006,382.144797700006,382.144797700006,382.144797700006,382.144797700006,382.144797700006,382.144797700006,382.144797700006,382.144797700006,382.144797700006,382.144797700006,382.144797700006,382.144797700006,382.144797700006,382.144797700006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,1,"2024-02-02_16h27.44.710","SELFtaskv6","2023.1.0",120.0403815914,NA,3
70,"INTELLIGENT","p",65,"b",120,160,"s",11,0,34,34,34,NA,NA,"",NA,2.534,607.588944600007,610.127267300006,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,610.127267300006,610.127267300006,610.127267300006,610.127267300006,610.127267300006,610.127267300006,610.127267300006,80,617.139831699998,617.139831699998,617.139831699998,617.139831699998,617.139831699998,617.139831699998,617.139831699998,617.139831699998,617.139831699998,617.139831699998,617.139831699998,617.139831699998,617.139831699998,617.139831699998,617.139831699998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,1,"2024-02-02_16h27.44.710","SELFtaskv6","2023.1.0",120.0403815914,NA,4
50,"LIKABLE","p",55,"g",40,0,"s",19,0,19,19,19,NA,NA,"",NA,1.367,397.665091300005,399.036445100006,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,399.036445100006,399.036445100006,399.036445100006,399.036445100006,399.036445100006,399.036445100006,399.036445100006,50,406.049905399996,406.049905399996,406.049905399996,406.049905399996,406.049905399996,406.049905399996,406.049905399996,406.049905399996,406.049905399996,406.049905399996,406.049905399996,406.049905399996,406.049905399996,406.049905399996,406.049905399996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,1,"2024-02-02_16h27.44.710","SELFtaskv6","2023.1.0",120.0403815914,NA,4
20,"WEAK","n",35,"b",-120,-240,"s",38,0,31,31,31,NA,NA,"",NA,2.25,566.069308500009,568.326190699998,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,568.326190699998,568.326190699998,568.326190699998,568.326190699998,568.326190699998,568.326190699998,568.326190699998,25,575.335945500003,575.335945500003,575.335945500003,575.335945500003,575.335945500003,575.335945500003,575.335945500003,575.335945500003,575.335945500003,575.335945500003,575.335945500003,575.335945500003,575.335945500003,575.335945500003,575.335945500003,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.466197500005364,NA,NA,347,1,"2024-02-02_16h27.44.710","SELFtaskv6","2023.1.0",120.0403815914,NA,2
20,"NEEDY","n",40,"b",-80,-240,"s",39,0,33,33,33,NA,NA,"",NA,2.684,590.899829800008,593.588146099995,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,593.588146099995,593.588146099995,593.588146099995,593.588146099995,593.588146099995,593.588146099995,593.588146099995,10,600.599903000009,600.599903000009,600.599903000009,600.599903000009,600.599903000009,600.599903000009,600.599903000009,600.599903000009,600.599903000009,600.599903000009,600.599903000009,600.599903000009,600.599903000009,600.599903000009,600.599903000009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,1,"2024-02-02_16h27.44.710","SELFtaskv6","2023.1.0",120.0403815914,NA,3
30,"HUMBLE","p",70,"g",160,-160,"s",31,0,16,16,16,NA,NA,"",NA,2.35,357.302945800009,359.659116800001,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,359.659116800001,359.659116800001,359.659116800001,359.659116800001,359.659116800001,359.659116800001,359.659116800001,50,366.670218500003,366.670218500003,366.670218500003,366.670218500003,366.670218500003,366.670218500003,366.670218500003,366.670218500003,366.670218500003,366.670218500003,366.670218500003,366.670218500003,366.670218500003,366.670218500003,366.670218500003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,1,"2024-02-02_16h27.44.710","SELFtaskv6","2023.1.0",120.0403815914,NA,4
