"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_3.stopped","vowelcount.stopped","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
10,"SENSITIVE","n",30,"b",-160,-320,"s",29,0,45,45,45,NA,NA,"",NA,2.901,758.149902700003,761.052363100003,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,761.052363100003,761.052363100003,761.052363100003,761.052363100003,761.052363100003,761.052363100003,761.052363100003,10,768.064941000004,768.064941000004,768.064941000004,768.064941000004,768.064941000004,768.064941000004,768.064941000004,768.064941000004,768.064941000004,768.064941000004,768.064941000004,768.064941000004,768.064941000004,768.064941000004,768.064941000004,1.61243059999833,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
0,"UNIMPORTANT","n",20,"b",-240,-400,"s",39,0,33,33,33,NA,NA,"",NA,2.684,592.1377201,594.823100300004,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,594.823100300004,594.823100300004,594.823100300004,594.823100300004,594.823100300004,594.823100300004,594.823100300004,0,601.834827799998,601.834827799998,601.834827799998,601.834827799998,601.834827799998,601.834827799998,601.834827799998,601.834827799998,601.834827799998,601.834827799998,601.834827799998,601.834827799998,601.834827799998,601.834827799998,601.834827799998,0.996388100000331,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
0,"UNDESIRABLE","n",10,"b",-320,-400,"s",40,0,25,25,25,NA,NA,"",NA,1.05,481.373645799998,482.424972000001,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,482.424972000001,482.424972000001,482.424972000001,482.424972000001,482.424972000001,482.424972000001,482.424972000001,0,489.436375199999,489.436375199999,489.436375199999,489.436375199999,489.436375199999,489.436375199999,489.436375199999,489.436375199999,489.436375199999,489.436375199999,489.436375199999,489.436375199999,489.436375199999,489.436375199999,489.436375199999,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
0,"HELPLESS","n",15,"b",-280,-400,"b",41,0,26,26,26,NA,NA,"",NA,1.05,496.437038700002,497.487926300004,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,497.487926300004,497.487926300004,497.487926300004,497.487926300004,497.487926300004,497.487926300004,497.487926300004,0,504.4985284,504.4985284,504.4985284,504.4985284,504.4985284,504.4985284,504.4985284,504.4985284,504.4985284,504.4985284,504.4985284,504.4985284,504.4985284,504.4985284,504.4985284,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
5,"ORDINARY","n",20,"b",-240,-360,"s",34,0,1,1,1,NA,NA,"",NA,1.684,158.290787899998,159.978708800001,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,159.978708800001,159.978708800001,159.978708800001,159.978708800001,159.978708800001,159.978708800001,159.978708800001,5,166.991464500003,166.991464500003,166.991464500003,166.991464500003,166.991464500003,166.991464500003,166.991464500003,166.991464500003,166.991464500003,166.991464500003,166.991464500003,166.991464500003,166.991464500003,166.991464500003,166.991464500003,2.64315089999582,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
70,"INTELLIGENT","p",75,"g",200,160,"s",12,0,6,6,6,NA,NA,"",NA,1.9,228.686984500004,230.5873833,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,230.5873833,230.5873833,230.5873833,230.5873833,230.5873833,230.5873833,230.5873833,75,237.597923400004,237.597923400004,237.597923400004,237.597923400004,237.597923400004,237.597923400004,237.597923400004,237.597923400004,237.597923400004,237.597923400004,237.597923400004,237.597923400004,237.597923400004,237.597923400004,237.597923400004,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
0,"INFERIOR","n",15,"b",-280,-400,"b",42,0,37,37,37,NA,NA,"",NA,1.867,651.790125699998,653.6590641,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,653.6590641,653.6590641,653.6590641,653.6590641,653.6590641,653.6590641,653.6590641,0,660.665615400001,660.665615400001,660.665615400001,660.665615400001,660.665615400001,660.665615400001,660.665615400001,660.665615400001,660.665615400001,660.665615400001,660.665615400001,660.665615400001,660.665615400001,660.665615400001,660.665615400001,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
5,"ANNOYING","n",25,"b",-200,-360,"s",35,0,38,38,38,NA,NA,"",NA,1.15,667.670684099998,668.821284700003,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,668.821284700003,668.821284700003,668.821284700003,668.821284700003,668.821284700003,668.821284700003,668.821284700003,10,675.8310575,675.8310575,675.8310575,675.8310575,675.8310575,675.8310575,675.8310575,675.8310575,675.8310575,675.8310575,675.8310575,675.8310575,675.8310575,675.8310575,675.8310575,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
80,"CHEERFUL","p",60,"b",80,240,"b",6,0,4,4,4,NA,NA,"",NA,1.417,197.258289500001,198.675841700002,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,198.675841700002,198.675841700002,198.675841700002,198.675841700002,198.675841700002,198.675841700002,198.675841700002,75,205.690252100001,205.690252100001,205.690252100001,205.690252100001,205.690252100001,205.690252100001,205.690252100001,205.690252100001,205.690252100001,205.690252100001,205.690252100001,205.690252100001,205.690252100001,205.690252100001,205.690252100001,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,4
0,"WEAK","n",15,"b",-280,-400,"b",43,0,21,21,21,NA,NA,"",NA,1.934,429.812202000001,431.7468095,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,431.7468095,431.7468095,431.7468095,431.7468095,431.7468095,431.7468095,431.7468095,0,438.761382299999,438.761382299999,438.761382299999,438.761382299999,438.761382299999,438.761382299999,438.761382299999,438.761382299999,438.761382299999,438.761382299999,438.761382299999,438.761382299999,438.761382299999,438.761382299999,438.761382299999,3.94673109999712,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
0,"ASHAMED","n",15,"b",-280,-400,"b",44,0,10,10,10,NA,NA,"",NA,1.684,277.628608999999,279.357922499999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,279.357922499999,279.357922499999,279.357922499999,279.357922499999,279.357922499999,279.357922499999,279.357922499999,0,286.328034600003,286.328034600003,286.328034600003,286.328034600003,286.328034600003,286.328034600003,286.328034600003,286.328034600003,286.328034600003,286.328034600003,286.328034600003,286.328034600003,286.328034600003,286.328034600003,286.328034600003,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
0,"NEEDY","n",20,"b",-240,-400,"b",45,0,11,11,11,NA,NA,"",NA,1.25,293.325640499999,294.5768885,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,294.5768885,294.5768885,294.5768885,294.5768885,294.5768885,294.5768885,294.5768885,5,301.586770000002,301.586770000002,301.586770000002,301.586770000002,301.586770000002,301.586770000002,301.586770000002,301.586770000002,301.586770000002,301.586770000002,301.586770000002,301.586770000002,301.586770000002,301.586770000002,301.586770000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
50,"HUMBLE","p",70,"g",160,0,"s",16,0,40,40,40,NA,NA,"",NA,2.651,692.492423399999,695.1445552,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,695.1445552,695.1445552,695.1445552,695.1445552,695.1445552,695.1445552,695.1445552,50,702.155937800002,702.155937800002,702.155937800002,702.155937800002,702.155937800002,702.155937800002,702.155937800002,702.155937800002,702.155937800002,702.155937800002,702.155937800002,702.155937800002,702.155937800002,702.155937800002,702.155937800002,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
