"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","Adjective_3.stopped","vowelcount.stopped","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
45,"SENSITIVE","n",30,"g",-160,-40,"s",31,0,16,16,16,NA,NA,"",NA,2.35,361.143441099999,363.500232799999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,363.500232799999,363.500232799999,363.500232799999,363.500232799999,363.500232799999,363.500232799999,363.500232799999,40,370.510751,370.510751,370.510751,370.510751,370.510751,370.510751,370.510751,370.510751,370.510751,370.510751,370.510751,370.510751,370.510751,370.510751,370.510751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,2
25,"UNIMPORTANT","n",35,"b",-120,-200,"s",39,0,33,33,33,NA,NA,"",NA,2.684,594.748722999999,597.4487436,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,597.4487436,597.4487436,597.4487436,597.4487436,597.4487436,597.4487436,597.4487436,20,604.458343299999,604.458343299999,604.458343299999,604.458343299999,604.458343299999,604.458343299999,604.458343299999,604.458343299999,604.458343299999,604.458343299999,604.458343299999,604.458343299999,604.458343299999,604.458343299999,604.458343299999,1.41968940000152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,2
15,"HELPLESS","n",30,"b",-160,-280,"b",45,0,11,11,11,NA,NA,"",NA,1.25,296.031134199999,297.291748,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,297.291748,297.291748,297.291748,297.291748,297.291748,297.291748,297.291748,20,304.302064399999,304.302064399999,304.302064399999,304.302064399999,304.302064399999,304.302064399999,304.302064399999,304.302064399999,304.302064399999,304.302064399999,304.302064399999,304.302064399999,304.302064399999,304.302064399999,304.302064399999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,3
55,"ORDINARY","n",35,"g",-120,40,"s",27,0,58,58,58,NA,NA,"",NA,1.667,942.1630069,943.838023999999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,943.838023999999,943.838023999999,943.838023999999,943.838023999999,943.838023999999,943.838023999999,943.838023999999,55,950.850051399999,950.850051399999,950.850051399999,950.850051399999,950.850051399999,950.850051399999,950.850051399999,950.850051399999,950.850051399999,950.850051399999,950.850051399999,950.850051399999,950.850051399999,950.850051399999,950.850051399999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,3
70,"INTELLIGENT","p",85,"g",280,160,"s",13,0,41,41,41,NA,NA,"",NA,1.984,711.744257599999,713.7417272,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,713.7417272,713.7417272,713.7417272,713.7417272,713.7417272,713.7417272,713.7417272,75,720.750949399999,720.750949399999,720.750949399999,720.750949399999,720.750949399999,720.750949399999,720.750949399999,720.750949399999,720.750949399999,720.750949399999,720.750949399999,720.750949399999,720.750949399999,720.750949399999,720.750949399999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,4
65,"LIKABLE","p",70,"g",160,120,"s",18,0,17,17,17,NA,NA,"",NA,1.467,377.499833899999,378.973719599999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,378.973719599999,378.973719599999,378.973719599999,378.973719599999,378.973719599999,378.973719599999,378.973719599999,70,385.9842773,385.9842773,385.9842773,385.9842773,385.9842773,385.9842773,385.9842773,385.9842773,385.9842773,385.9842773,385.9842773,385.9842773,385.9842773,385.9842773,385.9842773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,4
65,"CHEERFUL","p",80,"g",240,120,"s",19,0,19,19,19,NA,NA,"",NA,1.367,401.505525999999,402.8787335,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,402.8787335,402.8787335,402.8787335,402.8787335,402.8787335,402.8787335,402.8787335,70,409.8907855,409.8907855,409.8907855,409.8907855,409.8907855,409.8907855,409.8907855,409.8907855,409.8907855,409.8907855,409.8907855,409.8907855,409.8907855,409.8907855,409.8907855,1.50688350000019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,4
35,"WEAK","n",20,"g",-240,-120,"s",34,0,1,1,1,NA,NA,"",NA,1.684,161.043416099999,162.734402299999,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,162.734402299999,162.734402299999,162.734402299999,162.734402299999,162.734402299999,162.734402299999,162.734402299999,30,169.751351499999,169.751351499999,169.751351499999,169.751351499999,169.751351499999,169.751351499999,169.751351499999,169.751351499999,169.751351499999,169.751351499999,169.751351499999,169.751351499999,169.751351499999,169.751351499999,169.751351499999,1.41782170000079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,3
30,"ASHAMED","n",20,"g",-240,-160,"s",37,0,23,23,23,NA,NA,"",NA,2.934,457.5487366,460.488451899999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,460.488451899999,460.488451899999,460.488451899999,460.488451899999,460.488451899999,460.488451899999,460.488451899999,30,467.498571799999,467.498571799999,467.498571799999,467.498571799999,467.498571799999,467.498571799999,467.498571799999,467.498571799999,467.498571799999,467.498571799999,467.498571799999,467.498571799999,467.498571799999,467.498571799999,467.498571799999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,3
25,"NEEDY","n",45,"b",-40,-200,"s",40,0,25,25,25,NA,NA,"",NA,1.05,484.012093699999,485.066874,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,485.066874,485.066874,485.066874,485.066874,485.066874,485.066874,485.066874,25,492.079357799999,492.079357799999,492.079357799999,492.079357799999,492.079357799999,492.079357799999,492.079357799999,492.079357799999,492.079357799999,492.079357799999,492.079357799999,492.079357799999,492.079357799999,492.079357799999,492.079357799999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,2
70,"HUMBLE","p",85,"g",280,160,"s",14,0,2,2,2,NA,NA,"",NA,1.217,176.7325762,177.9610349,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,177.9610349,177.9610349,177.9610349,177.9610349,177.9610349,177.9610349,177.9610349,80,184.9673616,184.9673616,184.9673616,184.9673616,184.9673616,184.9673616,184.9673616,184.9673616,184.9673616,184.9673616,184.9673616,184.9673616,184.9673616,184.9673616,184.9673616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,3
20,"CARELESS","n",30,"b",-160,-240,"b",43,0,21,21,21,NA,NA,"",NA,1.934,432.459814,434.4001565,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,434.4001565,434.4001565,434.4001565,434.4001565,434.4001565,434.4001565,434.4001565,20,441.4108827,441.4108827,441.4108827,441.4108827,441.4108827,441.4108827,441.4108827,441.4108827,441.4108827,441.4108827,441.4108827,441.4108827,441.4108827,441.4108827,441.4108827,0.493469400000322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,2
75,"SUCCESSFUL","p",60,"b",80,200,"b",8,0,5,5,5,NA,NA,"",NA,1.984,215.4245971,217.4158231,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,217.4158231,217.4158231,217.4158231,217.4158231,217.4158231,217.4158231,217.4158231,75,224.429106099999,224.429106099999,224.429106099999,224.429106099999,224.429106099999,224.429106099999,224.429106099999,224.429106099999,224.429106099999,224.429106099999,224.429106099999,224.429106099999,224.429106099999,224.429106099999,224.429106099999,1.04596239999955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,4
