"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","Adjective_3.stopped","vowelcount.stopped","participant","session","date","expName","psychopyVersion","frameRate","X","np"
75,"SENSITIVE","n",45,"g",-40,200,"b",9,0,27,27,27,NA,NA,"",NA,2.35,516.423253699904,518.78239399998,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,518.78239399998,518.78239399998,518.78239399998,518.78239399998,518.78239399998,518.78239399998,518.78239399998,75,525.79117370001,525.79117370001,525.79117370001,525.79117370001,525.79117370001,525.79117370001,525.79117370001,525.79117370001,525.79117370001,525.79117370001,525.79117370001,525.79117370001,525.79117370001,525.79117370001,525.79117370001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,4
75,"UNIMPORTANT","n",40,"g",-80,200,"b",10,0,13,13,13,NA,NA,"",NA,1.3,322.448107099975,323.756011299905,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,323.756011299905,323.756011299905,323.756011299905,323.756011299905,323.756011299905,323.756011299905,323.756011299905,60,330.767700099968,330.767700099968,330.767700099968,330.767700099968,330.767700099968,330.767700099968,330.767700099968,330.767700099968,330.767700099968,330.767700099968,330.767700099968,330.767700099968,330.767700099968,330.767700099968,330.767700099968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,2
60,"UNDESIRABLE","n",35,"g",-120,80,"s",16,0,40,40,40,NA,NA,"",NA,2.651,697.360689599998,700.02939619997,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,700.02939619997,700.02939619997,700.02939619997,700.02939619997,700.02939619997,700.02939619997,700.02939619997,60,707.03994789999,707.03994789999,707.03994789999,707.03994789999,707.03994789999,707.03994789999,707.03994789999,707.03994789999,707.03994789999,707.03994789999,707.03994789999,707.03994789999,707.03994789999,707.03994789999,707.03994789999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,2
80,"INTELLIGENT","p",60,"b",80,240,"s",26,0,57,57,57,NA,NA,"",NA,1.517,928.939576899982,930.461611600011,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,930.461611600011,930.461611600011,930.461611600011,930.461611600011,930.461611600011,930.461611600011,930.461611600011,80,937.473974399967,937.473974399967,937.473974399967,937.473974399967,937.473974399967,937.473974399967,937.473974399967,937.473974399967,937.473974399967,937.473974399967,937.473974399967,937.473974399967,937.473974399967,937.473974399967,937.473974399967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,5
20,"INFERIOR","n",30,"b",-160,-240,"b",44,0,10,10,10,NA,NA,"",NA,1.684,282.602837699931,284.290274099912,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,284.290274099912,284.290274099912,284.290274099912,284.290274099912,284.290274099912,284.290274099912,284.290274099912,20,291.306517899968,291.306517899968,291.306517899968,291.306517899968,291.306517899968,291.306517899968,291.306517899968,291.306517899968,291.306517899968,291.306517899968,291.306517899968,291.306517899968,291.306517899968,291.306517899968,291.306517899968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,2
30,"LIKABLE","p",55,"g",40,-160,"s",37,0,23,23,23,NA,NA,"",NA,2.934,459.831235499936,462.77229559992,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,462.77229559992,462.77229559992,462.77229559992,462.77229559992,462.77229559992,462.77229559992,462.77229559992,30,469.782362499973,469.782362499973,469.782362499973,469.782362499973,469.782362499973,469.782362499973,469.782362499973,469.782362499973,469.782362499973,469.782362499973,469.782362499973,469.782362499973,469.782362499973,469.782362499973,469.782362499973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,4
30,"CHEERFUL","p",50,"g",0,-160,"s",38,0,31,31,31,NA,NA,"",NA,2.25,572.200826799963,574.460625399952,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,574.460625399952,574.460625399952,574.460625399952,574.460625399952,574.460625399952,574.460625399952,574.460625399952,40,581.469744700007,581.469744700007,581.469744700007,581.469744700007,581.469744700007,581.469744700007,581.469744700007,581.469744700007,581.469744700007,581.469744700007,581.469744700007,581.469744700007,581.469744700007,581.469744700007,581.469744700007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,5
20,"ASHAMED","n",35,"b",-120,-240,"b",45,0,11,11,11,NA,NA,"",NA,1.25,298.290555999964,299.548915099935,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,299.548915099935,299.548915099935,299.548915099935,299.548915099935,299.548915099935,299.548915099935,299.548915099935,20,306.559300499968,306.559300499968,306.559300499968,306.559300499968,306.559300499968,306.559300499968,306.559300499968,306.559300499968,306.559300499968,306.559300499968,306.559300499968,306.559300499968,306.559300499968,306.559300499968,306.559300499968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,2
40,"NEEDY","n",60,"b",80,-80,"s",28,0,53,53,53,NA,NA,"",NA,2.634,870.84753629996,873.487060099957,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,873.487060099957,873.487060099957,873.487060099957,873.487060099957,873.487060099957,873.487060099957,873.487060099957,40,880.497985599912,880.497985599912,880.497985599912,880.497985599912,880.497985599912,880.497985599912,880.497985599912,880.497985599912,880.497985599912,880.497985599912,880.497985599912,880.497985599912,880.497985599912,880.497985599912,880.497985599912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,2
70,"HUMBLE","p",65,"b",120,160,"s",12,0,6,6,6,NA,NA,"",NA,1.9,233.658099299995,235.566786499927,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,235.566786499927,235.566786499927,235.566786499927,235.566786499927,235.566786499927,235.566786499927,235.566786499927,70,242.5755565,242.5755565,242.5755565,242.5755565,242.5755565,242.5755565,242.5755565,242.5755565,242.5755565,242.5755565,242.5755565,242.5755565,242.5755565,242.5755565,242.5755565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,5
60,"CARELESS","n",60,"b",80,80,"s",17,0,35,35,35,NA,NA,"",NA,2.4,630.276058499934,632.681042399956,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,632.681042399956,632.681042399956,632.681042399956,632.681042399956,632.681042399956,632.681042399956,632.681042399956,60,639.694660499925,639.694660499925,639.694660499925,639.694660499925,639.694660499925,639.694660499925,639.694660499925,639.694660499925,639.694660499925,639.694660499925,639.694660499925,639.694660499925,639.694660499925,639.694660499925,639.694660499925,1.41566259996034,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,2
80,"SUCCESSFUL","p",50,"b",0,240,"s",27,0,58,58,58,NA,NA,"",NA,1.667,944.471087999991,946.143367399927,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,946.143367399927,946.143367399927,946.143367399927,946.143367399927,946.143367399927,946.143367399927,946.143367399927,80,953.156178999925,953.156178999925,953.156178999925,953.156178999925,953.156178999925,953.156178999925,953.156178999925,953.156178999925,953.156178999925,953.156178999925,953.156178999925,953.156178999925,953.156178999925,953.156178999925,953.156178999925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,5
