"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","thisRow.t","notes","wait.started","scan.started","keyresp.started","wait.stopped","keyresp.keys","keyresp.rt","keyresp.duration","j1.started","jitter","polygon.started","polygon.stopped","j1.stopped","belief_pound.started","belief_pound.stopped","belief_rate.started","belief_rate.stopped","resp1.keys","slider.response","slider.rt","count_pound.started","Adjective_3.started","vowelcount.started","count_pound.stopped","vowel_choose.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","vowel_choose.stopped","resp.keys","resp.rt","resp.duration","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","resp1.duration","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","Adjective_3.stopped","vowelcount.stopped","complete.started","note.started","note.stopped","complete.stopped","participant","session","date","expName","psychopyVersion","frameRate","expStart","X","np"
65,"SENSITIVE","n",55,"g",80,120,"b",7,0,30,30,30,552.29319299999,NA,NA,NA,NA,NA,"",NA,"",552.29107169999,2.117,552.29319299999,554.417389799986,554.401428799989,554.401438399975,561.408766499982,561.408772900002,568.407163199998,"None","None","None",568.407248199976,NA,NA,568.411825999996,568.411833899998,NA,NA,NA,NA,NA,NA,NA,568.412752099975,"None",NA,"",554.417389799986,554.417389799986,554.417389799986,554.417389799986,554.417389799986,554.417389799986,554.417389799986,40,561.426182800002,561.426182800002,561.426182800002,561.426182800002,561.426182800002,561.426182800002,561.426182800002,561.426182800002,561.426182800002,561.426182800002,561.426182800002,561.426182800002,561.426182800002,561.426182800002,561.426182800002,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,1,"2024-03-20_12h18.59.845","SELFtaskv6","2023.2.3",120.058684684675,"2024-03-20 12h19.04.704356 +1100",NA,2
50,"UNIMPORTANT","n",40,"g",-80,0,"s",21,0,20,20,20,415.37664989999,NA,NA,NA,NA,NA,"",NA,"",415.3733832,1.567,415.37664989999,416.9526434,416.935170899989,416.93518,423.942486199987,423.942492399976,430.94261909998,"a","None","None",430.9427287,NA,NA,430.948171900003,430.948179799976,NA,NA,NA,NA,NA,NA,NA,430.949343899993,"None",NA,"",416.9526434,416.9526434,416.9526434,416.9526434,416.9526434,416.9526434,416.9526434,20,423.961298599985,423.961298599985,423.961298599985,423.961298599985,423.961298599985,423.961298599985,423.961298599985,423.961298599985,423.961298599985,423.961298599985,423.961298599985,423.961298599985,423.961298599985,423.961298599985,423.961298599985,1.96536210001796,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,1,"2024-03-20_12h18.59.845","SELFtaskv6","2023.2.3",120.058684684675,"2024-03-20 12h19.04.704356 +1100",NA,3
30,"UNDESIRABLE","n",35,"b",-120,-160,"s",39,0,33,33,33,593.246450299979,NA,NA,NA,NA,NA,"",NA,"",593.238345899998,2.684,593.246450299979,595.937981299998,595.921275599976,595.921285299992,602.928522299975,602.928529299999,609.9287319,"None","None","None",609.928817599983,NA,NA,609.934462999983,609.934471799992,NA,NA,NA,NA,NA,NA,NA,609.935620999982,"None",NA,"",595.937981299998,595.937981299998,595.937981299998,595.937981299998,595.937981299998,595.937981299998,595.937981299998,15,602.948565799976,602.948565799976,602.948565799976,602.948565799976,602.948565799976,602.948565799976,602.948565799976,602.948565799976,602.948565799976,602.948565799976,602.948565799976,602.948565799976,602.948565799976,602.948565799976,602.948565799976,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,1,"2024-03-20_12h18.59.845","SELFtaskv6","2023.2.3",120.058684684675,"2024-03-20 12h19.04.704356 +1100",NA,2
40,"HELPLESS","n",35,"g",-120,-80,"s",34,0,1,1,1,159.516926499986,NA,NA,NA,NA,NA,"",NA,"",159.509013699979,1.684,159.516926499986,161.211788799992,161.192022299976,161.192031999992,168.199220699986,168.199226899975,175.198748700001,"None","None","None",175.198833699978,NA,NA,175.203361299995,175.203369499999,NA,NA,NA,NA,NA,NA,NA,175.204355399997,"None",NA,"",161.211788799992,161.211788799992,161.211788799992,161.211788799992,161.211788799992,161.211788799992,161.211788799992,25,168.226036599983,168.226036599983,168.226036599983,168.226036599983,168.226036599983,168.226036599983,168.226036599983,168.226036599983,168.226036599983,168.226036599983,168.226036599983,168.226036599983,168.226036599983,168.226036599983,168.226036599983,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,1,"2024-03-20_12h18.59.845","SELFtaskv6","2023.2.3",120.058684684675,"2024-03-20 12h19.04.704356 +1100",NA,1
65,"INTELLIGENT","p",75,"g",200,120,"b",9,0,27,27,27,512.639542199991,NA,NA,NA,NA,NA,"",NA,"",512.631571699982,2.35,512.639542199991,514.998171199986,514.981379999983,514.981390000001,521.988579600002,521.98858569999,528.988799299987,"None","None","None",528.98888249998,NA,NA,528.992243099987,528.992250599986,NA,NA,NA,NA,NA,NA,NA,528.993332199985,"None",NA,"",514.998171199986,514.998171199986,514.998171199986,514.998171199986,514.998171199986,514.998171199986,514.998171199986,80,522.006533799984,522.006533799984,522.006533799984,522.006533799984,522.006533799984,522.006533799984,522.006533799984,522.006533799984,522.006533799984,522.006533799984,522.006533799984,522.006533799984,522.006533799984,522.006533799984,522.006533799984,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,1,"2024-03-20_12h18.59.845","SELFtaskv6","2023.2.3",120.058684684675,"2024-03-20 12h19.04.704356 +1100",NA,4
25,"INFERIOR","n",35,"b",-120,-200,"b",42,0,37,37,37,652.889048199984,NA,NA,NA,NA,NA,"",NA,"",652.880831199989,1.867,652.889048199984,654.763615499978,654.747351799975,654.747361599992,661.754656699981,661.754688099987,668.75417879998,"None","None","None",668.754265700001,NA,NA,668.757714599982,668.757723599992,NA,NA,NA,NA,NA,NA,NA,668.758647899987,"None",NA,"",654.763615499978,654.763615499978,654.763615499978,654.763615499978,654.763615499978,654.763615499978,654.763615499978,50,661.774693999992,661.774693999992,661.774693999992,661.774693999992,661.774693999992,661.774693999992,661.774693999992,661.774693999992,661.774693999992,661.774693999992,661.774693999992,661.774693999992,661.774693999992,661.774693999992,661.774693999992,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,1,"2024-03-20_12h18.59.845","SELFtaskv6","2023.2.3",120.058684684675,"2024-03-20 12h19.04.704356 +1100",NA,1
65,"CHEERFUL","p",50,"b",0,120,"b",10,0,13,13,13,318.647187900002,NA,NA,NA,NA,NA,"",NA,"",318.63925149999,1.3,318.647187900002,319.953757699986,319.938952999975,319.938962199987,326.946154799982,326.946161100001,333.939913799986,"None","None","None",333.939998199989,NA,NA,333.943791099999,333.943798799999,NA,NA,NA,NA,NA,NA,NA,333.944738499995,"None",NA,"",319.953757699986,319.953757699986,319.953757699986,319.953757699986,319.953757699986,319.953757699986,319.953757699986,50,326.966121099977,326.966121099977,326.966121099977,326.966121099977,326.966121099977,326.966121099977,326.966121099977,326.966121099977,326.966121099977,326.966121099977,326.966121099977,326.966121099977,326.966121099977,326.966121099977,326.966121099977,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,1,"2024-03-20_12h18.59.845","SELFtaskv6","2023.2.3",120.058684684675,"2024-03-20 12h19.04.704356 +1100",NA,3
75,"HUMBLE","p",60,"b",80,200,"s",25,0,54,54,54,883.690551599982,NA,NA,NA,NA,NA,"",NA,"",883.689070599998,2.167,883.690551599982,885.865685500001,885.852022699983,885.852031899994,892.859317399998,892.859323499986,899.854425700003,"None","None","None",899.854510799982,NA,NA,899.858057699981,899.858065599983,NA,NA,NA,NA,NA,NA,NA,899.858937499986,"None",NA,"",885.865685500001,885.865685500001,885.865685500001,885.865685500001,885.865685500001,885.865685500001,885.865685500001,50,892.876658900001,892.876658900001,892.876658900001,892.876658900001,892.876658900001,892.876658900001,892.876658900001,892.876658900001,892.876658900001,892.876658900001,892.876658900001,892.876658900001,892.876658900001,892.876658900001,892.876658900001,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,1,"2024-03-20_12h18.59.845","SELFtaskv6","2023.2.3",120.058684684675,"2024-03-20 12h19.04.704356 +1100",NA,4
55,"CARELESS","n",60,"b",80,40,"s",19,0,19,19,19,399.99540829999,NA,NA,NA,NA,NA,"",NA,"",399.987550699996,1.367,399.99540829999,401.367049499997,401.353925999982,401.353935399995,408.361079299997,408.361085499986,415.368798099982,"None","None","None",415.368884900003,NA,NA,415.372370999976,415.372378499975,NA,NA,NA,NA,NA,NA,NA,415.373255699989,"None",NA,"",401.367049499997,401.367049499997,401.367049499997,401.367049499997,401.367049499997,401.367049499997,401.367049499997,35,408.379272999999,408.379272999999,408.379272999999,408.379272999999,408.379272999999,408.379272999999,408.379272999999,408.379272999999,408.379272999999,408.379272999999,408.379272999999,408.379272999999,408.379272999999,408.379272999999,408.379272999999,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,1,"2024-03-20_12h18.59.845","SELFtaskv6","2023.2.3",120.058684684675,"2024-03-20 12h19.04.704356 +1100",NA,1
70,"SUCCESSFUL","p",50,"b",0,160,"b",6,0,4,4,4,198.478740299994,NA,NA,NA,NA,NA,"",NA,"",198.470767999999,1.417,198.478740299994,199.902384299989,199.887211099995,199.88722059998,206.894402999984,206.894409300003,213.889296899986,"None","None","None",213.889379899978,NA,NA,213.893049899983,213.893057499983,NA,NA,NA,NA,NA,NA,NA,213.894117699994,"None",NA,"",199.902384299989,199.902384299989,199.902384299989,199.902384299989,199.902384299989,199.902384299989,199.902384299989,50,206.913228999998,206.913228999998,206.913228999998,206.913228999998,206.913228999998,206.913228999998,206.913228999998,206.913228999998,206.913228999998,206.913228999998,206.913228999998,206.913228999998,206.913228999998,206.913228999998,206.913228999998,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,1,"2024-03-20_12h18.59.845","SELFtaskv6","2023.2.3",120.058684684675,"2024-03-20 12h19.04.704356 +1100",NA,3
