"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","resp1.rt","note.started","participant","session","date","expName","psychopyVersion","frameRate","np"
70,"SENSITIVE","n",55,"g",40,160,"s",14,0,2,2,2,NA,NA,"",NA,1.217,169.695909,170.9215761,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,170.9215761,170.9215761,170.9215761,170.9215761,170.9215761,170.9215761,170.9215761,70,177.9305076,177.9305076,177.9305076,177.9305076,177.9305076,177.9305076,177.9305076,177.9305076,177.9305076,177.9305076,177.9305076,177.9305076,177.9305076,177.9305076,177.9305076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,2
50,"ORDINARY","n",35,"g",-120,0,"s",32,0,46,46,46,NA,NA,"",NA,1,770.6062362,771.6126902,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,771.6126902,771.6126902,771.6126902,771.6126902,771.6126902,771.6126902,771.6126902,55,778.6238134,778.6238134,778.6238134,778.6238134,778.6238134,778.6238134,778.6238134,778.6238134,778.6238134,778.6238134,778.6238134,778.6238134,778.6238134,778.6238134,778.6238134,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6572108,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,2
75,"INTELLIGENT","p",70,"b",240,200,"b",8,0,5,5,5,NA,NA,"",NA,1.984,208.3910771,210.3813883,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,210.3813883,210.3813883,210.3813883,210.3813883,210.3813883,210.3813883,210.3813883,80,217.3915828,217.3915828,217.3915828,217.3915828,217.3915828,217.3915828,217.3915828,217.3915828,217.3915828,217.3915828,217.3915828,217.3915828,217.3915828,217.3915828,217.3915828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,5
75,"LIKABLE","p",65,"b",120,200,"b",9,0,27,27,27,NA,NA,"",NA,2.35,507.121689,509.4769653,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,509.4769653,509.4769653,509.4769653,509.4769653,509.4769653,509.4769653,509.4769653,70,516.4884576,516.4884576,516.4884576,516.4884576,516.4884576,516.4884576,516.4884576,516.4884576,516.4884576,516.4884576,516.4884576,516.4884576,516.4884576,516.4884576,516.4884576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,4
70,"CHEERFUL","p",75,"g",200,160,"s",15,0,47,47,47,NA,NA,"",NA,1.517,785.6208152,787.1422216,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,787.1422216,787.1422216,787.1422216,787.1422216,787.1422216,787.1422216,787.1422216,70,794.1547034,794.1547034,794.1547034,794.1547034,794.1547034,794.1547034,794.1547034,794.1547034,794.1547034,794.1547034,794.1547034,794.1547034,794.1547034,794.1547034,794.1547034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,4
15,"WEAK","n",30,"b",-160,-280,"b",44,0,10,10,10,NA,NA,"",NA,1.684,273.3252183,275.0140497,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,275.0140497,275.0140497,275.0140497,275.0140497,275.0140497,275.0140497,275.0140497,20,282.0253611,282.0253611,282.0253611,282.0253611,282.0253611,282.0253611,282.0253611,282.0253611,282.0253611,282.0253611,282.0253611,282.0253611,282.0253611,282.0253611,282.0253611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,2
20,"ASHAMED","n",35,"b",-120,-240,"b",42,0,37,37,37,NA,NA,"",NA,1.867,647.3630329,649.2322363,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,649.2322363,649.2322363,649.2322363,649.2322363,649.2322363,649.2322363,649.2322363,20,656.2467252,656.2467252,656.2467252,656.2467252,656.2467252,656.2467252,656.2467252,656.2467252,656.2467252,656.2467252,656.2467252,656.2467252,656.2467252,656.2467252,656.2467252,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0492433,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,2
30,"NEEDY","n",35,"b",-120,-160,"s",39,0,33,33,33,NA,NA,"",NA,2.684,587.7202901,590.4040838,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,590.4040838,590.4040838,590.4040838,590.4040838,590.4040838,590.4040838,590.4040838,40,597.4204174,597.4204174,597.4204174,597.4204174,597.4204174,597.4204174,597.4204174,597.4204174,597.4204174,597.4204174,597.4204174,597.4204174,597.4204174,597.4204174,597.4204174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,2
15,"CARELESS","n",35,"b",-120,-280,"b",45,0,11,11,11,NA,NA,"",NA,1.25,289.0146141,290.2682256,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,290.2682256,290.2682256,290.2682256,290.2682256,290.2682256,290.2682256,290.2682256,5,297.2810915,297.2810915,297.2810915,297.2810915,297.2810915,297.2810915,297.2810915,297.2810915,297.2810915,297.2810915,297.2810915,297.2810915,297.2810915,297.2810915,297.2810915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,2
75,"SUCCESSFUL","p",60,"b",80,200,"b",10,0,13,13,13,NA,NA,"",NA,1.3,313.1620442,314.4657835,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,314.4657835,314.4657835,314.4657835,314.4657835,314.4657835,314.4657835,314.4657835,80,321.4797336,321.4797336,321.4797336,321.4797336,321.4797336,321.4797336,321.4797336,321.4797336,321.4797336,321.4797336,321.4797336,321.4797336,321.4797336,321.4797336,321.4797336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,5
