"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","Adjective_3.stopped","vowelcount.stopped","note.started","participant","session","date","expName","psychopyVersion","frameRate","np"
20,"SENSITIVE","n",60,"b",80,-240,"s",39,0,33,33,33,NA,NA,"",NA,2.684,615.3723167,618.0585997,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,618.0585997,618.0585997,618.0585997,618.0585997,618.0585997,618.0585997,618.0585997,35,625.0731044,625.0731044,625.0731044,625.0731044,625.0731044,625.0731044,625.0731044,625.0731044,625.0731044,625.0731044,625.0731044,625.0731044,625.0731044,625.0731044,625.0731044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,2
60,"UNDESIRABLE","n",35,"g",-120,80,"s",11,0,34,34,34,NA,NA,"",NA,2.534,632.0694542,634.61362,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,634.61362,634.61362,634.61362,634.61362,634.61362,634.61362,634.61362,60,641.6220813,641.6220813,641.6220813,641.6220813,641.6220813,641.6220813,641.6220813,641.6220813,641.6220813,641.6220813,641.6220813,641.6220813,641.6220813,641.6220813,641.6220813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,1
60,"HELPLESS","n",45,"g",-40,80,"s",12,0,6,6,6,NA,NA,"",NA,1.9,252.0008582,253.9167862,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,253.9167862,253.9167862,253.9167862,253.9167862,253.9167862,253.9167862,253.9167862,55,260.9247351,260.9247351,260.9247351,260.9247351,260.9247351,260.9247351,260.9247351,260.9247351,260.9247351,260.9247351,260.9247351,260.9247351,260.9247351,260.9247351,260.9247351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,1
50,"ORDINARY","n",60,"b",80,0,"s",23,0,50,50,50,NA,NA,"",NA,1.167,854.8849212,856.058493,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,856.058493,856.058493,856.058493,856.058493,856.058493,856.058493,856.058493,65,863.0700633,863.0700633,863.0700633,863.0700633,863.0700633,863.0700633,863.0700633,863.0700633,863.0700633,863.0700633,863.0700633,863.0700633,863.0700633,863.0700633,863.0700633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,3
55,"INTELLIGENT","p",50,"b",0,40,"s",19,0,19,19,19,NA,NA,"",NA,1.367,422.1290921,423.5036593,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,423.5036593,423.5036593,423.5036593,423.5036593,423.5036593,423.5036593,423.5036593,55,430.5129144,430.5129144,430.5129144,430.5129144,430.5129144,430.5129144,430.5129144,430.5129144,430.5129144,430.5129144,430.5129144,430.5129144,430.5129144,430.5129144,430.5129144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,4
25,"ANNOYING","n",40,"b",-80,-200,"s",35,0,38,38,38,NA,NA,"",NA,1.15,690.8941737,692.0510914,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,692.0510914,692.0510914,692.0510914,692.0510914,692.0510914,692.0510914,692.0510914,30,699.063316,699.063316,699.063316,699.063316,699.063316,699.063316,699.063316,699.063316,699.063316,699.063316,699.063316,699.063316,699.063316,699.063316,699.063316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,4
15,"LIKABLE","p",55,"g",40,-280,"b",45,0,11,11,11,NA,NA,"",NA,1.25,316.6323017,317.8897265,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,317.8897265,317.8897265,317.8897265,317.8897265,317.8897265,317.8897265,317.8897265,25,324.8999723,324.8999723,324.8999723,324.8999723,324.8999723,324.8999723,324.8999723,324.8999723,324.8999723,324.8999723,324.8999723,324.8999723,324.8999723,324.8999723,324.8999723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,3
30,"WEAK","n",35,"b",-120,-160,"s",29,0,45,45,45,NA,NA,"",NA,2.901,788.3429207,791.2541292,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,791.2541292,791.2541292,791.2541292,791.2541292,791.2541292,791.2541292,791.2541292,35,798.2671222,798.2671222,798.2671222,798.2671222,798.2671222,798.2671222,798.2671222,798.2671222,798.2671222,798.2671222,798.2671222,798.2671222,798.2671222,798.2671222,798.2671222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,2
25,"NEEDY","n",40,"b",-80,-200,"s",36,0,15,15,15,NA,NA,"",NA,1.7,366.0441456,367.7477853,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,367.7477853,367.7477853,367.7477853,367.7477853,367.7477853,367.7477853,367.7477853,25,374.7607882,374.7607882,374.7607882,374.7607882,374.7607882,374.7607882,374.7607882,374.7607882,374.7607882,374.7607882,374.7607882,374.7607882,374.7607882,374.7607882,374.7607882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,4
60,"HUMBLE","p",55,"b",40,80,"s",13,0,41,41,41,NA,NA,"",NA,1.984,732.3752703,734.3740264,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,734.3740264,734.3740264,734.3740264,734.3740264,734.3740264,734.3740264,734.3740264,50,741.3838048,741.3838048,741.3838048,741.3838048,741.3838048,741.3838048,741.3838048,741.3838048,741.3838048,741.3838048,741.3838048,741.3838048,741.3838048,741.3838048,741.3838048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,2
