"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
25,"SENSITIVE","n",60,"b",80,-200,"s",23,0,50,50,50,NA,NA,"",NA,1.167,842.235512399999,843.4081506,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,843.4081506,843.4081506,843.4081506,843.4081506,843.4081506,843.4081506,843.4081506,50,850.419529699999,850.419529699999,850.419529699999,850.419529699999,850.419529699999,850.419529699999,850.419529699999,850.419529699999,850.419529699999,850.419529699999,850.419529699999,850.419529699999,850.419529699999,850.419529699999,850.419529699999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1,"2024-04-12_14h49.21.560","SELFtaskv6","2023.1.0",119.71417044778,NA,2
30,"UNIMPORTANT","n",50,"b",0,-160,"s",39,0,33,33,33,NA,NA,"",NA,2.684,609.706016999999,612.3959208,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,612.3959208,612.3959208,612.3959208,612.3959208,612.3959208,612.3959208,612.3959208,50,619.407970599999,619.407970599999,619.407970599999,619.407970599999,619.407970599999,619.407970599999,619.407970599999,619.407970599999,619.407970599999,619.407970599999,619.407970599999,619.407970599999,619.407970599999,619.407970599999,619.407970599999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1,"2024-04-12_14h49.21.560","SELFtaskv6","2023.1.0",119.71417044778,NA,3
30,"UNDESIRABLE","n",35,"b",-120,-160,"s",40,0,25,25,25,NA,NA,"",NA,1.05,498.994690699999,500.0533915,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,500.0533915,500.0533915,500.0533915,500.0533915,500.0533915,500.0533915,500.0533915,50,507.063653499999,507.063653499999,507.063653499999,507.063653499999,507.063653499999,507.063653499999,507.063653499999,507.063653499999,507.063653499999,507.063653499999,507.063653499999,507.063653499999,507.063653499999,507.063653499999,507.063653499999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1,"2024-04-12_14h49.21.560","SELFtaskv6","2023.1.0",119.71417044778,NA,2
30,"HELPLESS","n",45,"b",-40,-160,"b",41,0,26,26,26,NA,NA,"",NA,1.05,514.051133899999,515.107797999999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,515.107797999999,515.107797999999,515.107797999999,515.107797999999,515.107797999999,515.107797999999,515.107797999999,50,522.1170669,522.1170669,522.1170669,522.1170669,522.1170669,522.1170669,522.1170669,522.1170669,522.1170669,522.1170669,522.1170669,522.1170669,522.1170669,522.1170669,522.1170669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1,"2024-04-12_14h49.21.560","SELFtaskv6","2023.1.0",119.71417044778,NA,2
55,"ORDINARY","n",45,"g",-40,40,"s",22,0,56,56,56,NA,NA,"",NA,1.617,926.008670699999,927.632588999999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,927.632588999999,927.632588999999,927.632588999999,927.632588999999,927.632588999999,927.632588999999,927.632588999999,50,934.644458699999,934.644458699999,934.644458699999,934.644458699999,934.644458699999,934.644458699999,934.644458699999,934.644458699999,934.644458699999,934.644458699999,934.644458699999,934.644458699999,934.644458699999,934.644458699999,934.644458699999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1,"2024-04-12_14h49.21.560","SELFtaskv6","2023.1.0",119.71417044778,NA,3
60,"INTELLIGENT","p",75,"g",200,80,"s",16,0,40,40,40,NA,NA,"",NA,2.651,710.0435358,712.7093931,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,712.7093931,712.7093931,712.7093931,712.7093931,712.7093931,712.7093931,712.7093931,50,719.7186124,719.7186124,719.7186124,719.7186124,719.7186124,719.7186124,719.7186124,719.7186124,719.7186124,719.7186124,719.7186124,719.7186124,719.7186124,719.7186124,719.7186124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1,"2024-04-12_14h49.21.560","SELFtaskv6","2023.1.0",119.71417044778,NA,4
40,"INFERIOR","n",30,"g",-160,-80,"s",35,0,38,38,38,NA,NA,"",NA,1.15,685.220941399999,686.378012199999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,686.378012199999,686.378012199999,686.378012199999,686.378012199999,686.378012199999,686.378012199999,686.378012199999,50,693.387808399999,693.387808399999,693.387808399999,693.387808399999,693.387808399999,693.387808399999,693.387808399999,693.387808399999,693.387808399999,693.387808399999,693.387808399999,693.387808399999,693.387808399999,693.387808399999,693.387808399999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1,"2024-04-12_14h49.21.560","SELFtaskv6","2023.1.0",119.71417044778,NA,2
60,"ANNOYING","n",35,"g",-120,80,"s",17,0,35,35,35,NA,NA,"",NA,2.4,642.9351749,645.342264699999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,645.342264699999,645.342264699999,645.342264699999,645.342264699999,645.342264699999,645.342264699999,645.342264699999,50,652.352174399999,652.352174399999,652.352174399999,652.352174399999,652.352174399999,652.352174399999,652.352174399999,652.352174399999,652.352174399999,652.352174399999,652.352174399999,652.352174399999,652.352174399999,652.352174399999,652.352174399999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1,"2024-04-12_14h49.21.560","SELFtaskv6","2023.1.0",119.71417044778,NA,2
50,"CHEERFUL","p",55,"g",40,0,"s",25,0,54,54,54,NA,NA,"",NA,2.167,900.1867418,902.3609468,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,902.3609468,902.3609468,902.3609468,902.3609468,902.3609468,902.3609468,902.3609468,50,909.3709621,909.3709621,909.3709621,909.3709621,909.3709621,909.3709621,909.3709621,909.3709621,909.3709621,909.3709621,909.3709621,909.3709621,909.3709621,909.3709621,909.3709621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1,"2024-04-12_14h49.21.560","SELFtaskv6","2023.1.0",119.71417044778,NA,3
35,"ASHAMED","n",40,"b",-80,-120,"s",36,0,15,15,15,NA,NA,"",NA,1.7,360.3700405,362.077934299999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,362.077934299999,362.077934299999,362.077934299999,362.077934299999,362.077934299999,362.077934299999,362.077934299999,50,369.0873593,369.0873593,369.0873593,369.0873593,369.0873593,369.0873593,369.0873593,369.0873593,369.0873593,369.0873593,369.0873593,369.0873593,369.0873593,369.0873593,369.0873593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1,"2024-04-12_14h49.21.560","SELFtaskv6","2023.1.0",119.71417044778,NA,2
50,"NEEDY","n",35,"g",-120,0,"s",26,0,57,57,57,NA,NA,"",NA,1.517,941.631545999999,943.1528048,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,943.1528048,943.1528048,943.1528048,943.1528048,943.1528048,943.1528048,943.1528048,40,950.1642732,950.1642732,950.1642732,950.1642732,950.1642732,950.1642732,950.1642732,950.1642732,950.1642732,950.1642732,950.1642732,950.1642732,950.1642732,950.1642732,950.1642732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1,"2024-04-12_14h49.21.560","SELFtaskv6","2023.1.0",119.71417044778,NA,3
