"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","note.started","note.stopped","participant","session","date","expName","psychopyVersion","frameRate","X","np"
45,"UNIMPORTANT","n",35,"g",-120,-40,"s",24,0,51,51,51,NA,NA,"",NA,2.167,838.487452900037,840.660637099994,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,840.660637099994,840.660637099994,840.660637099994,840.660637099994,840.660637099994,840.660637099994,840.660637099994,35,847.673039500136,847.673039500136,847.673039500136,847.673039500136,847.673039500136,847.673039500136,847.673039500136,847.673039500136,847.673039500136,847.673039500136,847.673039500136,847.673039500136,847.673039500136,847.673039500136,847.673039500136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,1,"2024-03-13_11h35.18.723","SELFtaskv6","2023.1.0",120.013585697234,NA,3
25,"UNDESIRABLE","n",30,"b",-160,-200,"s",30,0,42,42,42,NA,NA,"",NA,2.017,723.809720400022,725.831844900036,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,725.831844900036,725.831844900036,725.831844900036,725.831844900036,725.831844900036,725.831844900036,725.831844900036,30,732.844739299966,732.844739299966,732.844739299966,732.844739299966,732.844739299966,732.844739299966,732.844739299966,732.844739299966,732.844739299966,732.844739299966,732.844739299966,732.844739299966,732.844739299966,732.844739299966,732.844739299966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,1,"2024-03-13_11h35.18.723","SELFtaskv6","2023.1.0",120.013585697234,NA,3
10,"HELPLESS","n",25,"b",-200,-320,"b",42,0,37,37,37,NA,NA,"",NA,1.867,650.468874900136,652.340375400148,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,652.340375400148,652.340375400148,652.340375400148,652.340375400148,652.340375400148,652.340375400148,652.340375400148,5,659.352823500056,659.352823500056,659.352823500056,659.352823500056,659.352823500056,659.352823500056,659.352823500056,659.352823500056,659.352823500056,659.352823500056,659.352823500056,659.352823500056,659.352823500056,659.352823500056,659.352823500056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,1,"2024-03-13_11h35.18.723","SELFtaskv6","2023.1.0",120.013585697234,NA,1
20,"ORDINARY","n",40,"b",-80,-240,"s",33,0,8,8,8,NA,NA,"",NA,2.217,251.433901699958,253.656585300108,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,253.656585300108,253.656585300108,253.656585300108,253.656585300108,253.656585300108,253.656585300108,253.656585300108,40,260.669550399994,260.669550399994,260.669550399994,260.669550399994,260.669550399994,260.669550399994,260.669550399994,260.669550399994,260.669550399994,260.669550399994,260.669550399994,260.669550399994,260.669550399994,260.669550399994,260.669550399994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,1,"2024-03-13_11h35.18.723","SELFtaskv6","2023.1.0",120.013585697234,NA,2
15,"INFERIOR","n",25,"b",-200,-280,"s",36,0,15,15,15,NA,NA,"",NA,1.7,341.514690299984,343.222451600013,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,343.222451600013,343.222451600013,343.222451600013,343.222451600013,343.222451600013,343.222451600013,343.222451600013,15,350.23159380001,350.23159380001,350.23159380001,350.23159380001,350.23159380001,350.23159380001,350.23159380001,350.23159380001,350.23159380001,350.23159380001,350.23159380001,350.23159380001,350.23159380001,350.23159380001,350.23159380001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,1,"2024-03-13_11h35.18.723","SELFtaskv6","2023.1.0",120.013585697234,NA,1
70,"CHEERFUL","p",60,"b",80,160,"b",9,0,27,27,27,NA,NA,"",NA,2.35,510.218683900079,512.574853600003,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,512.574853600003,512.574853600003,512.574853600003,512.574853600003,512.574853600003,512.574853600003,512.574853600003,70,519.588244300103,519.588244300103,519.588244300103,519.588244300103,519.588244300103,519.588244300103,519.588244300103,519.588244300103,519.588244300103,519.588244300103,519.588244300103,519.588244300103,519.588244300103,519.588244300103,519.588244300103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,1,"2024-03-13_11h35.18.723","SELFtaskv6","2023.1.0",120.013585697234,NA,5
60,"WEAK","n",35,"g",-120,80,"s",14,0,2,2,2,NA,NA,"",NA,1.217,172.785503600026,174.007597499993,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,174.007597499993,174.007597499993,174.007597499993,174.007597499993,174.007597499993,174.007597499993,174.007597499993,50,181.018284599995,181.018284599995,181.018284599995,181.018284599995,181.018284599995,181.018284599995,181.018284599995,181.018284599995,181.018284599995,181.018284599995,181.018284599995,181.018284599995,181.018284599995,181.018284599995,181.018284599995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,1,"2024-03-13_11h35.18.723","SELFtaskv6","2023.1.0",120.013585697234,NA,2
15,"NEEDY","n",20,"b",-240,-280,"s",37,0,23,23,23,NA,NA,"",NA,2.934,453.634343800135,456.574454100104,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,456.574454100104,456.574454100104,456.574454100104,456.574454100104,456.574454100104,456.574454100104,456.574454100104,10,463.583546899958,463.583546899958,463.583546899958,463.583546899958,463.583546899958,463.583546899958,463.583546899958,463.583546899958,463.583546899958,463.583546899958,463.583546899958,463.583546899958,463.583546899958,463.583546899958,463.583546899958,3.22339759999886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,1,"2024-03-13_11h35.18.723","SELFtaskv6","2023.1.0",120.013585697234,NA,2
10,"CARELESS","n",35,"b",-120,-320,"b",43,0,21,21,21,NA,NA,"",NA,1.934,428.546240700176,430.491963200038,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,430.491963200038,430.491963200038,430.491963200038,430.491963200038,430.491963200038,430.491963200038,430.491963200038,10,437.504593000049,437.504593000049,437.504593000049,437.504593000049,437.504593000049,437.504593000049,437.504593000049,437.504593000049,437.504593000049,437.504593000049,437.504593000049,437.504593000049,437.504593000049,437.504593000049,437.504593000049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,1,"2024-03-13_11h35.18.723","SELFtaskv6","2023.1.0",120.013585697234,NA,1
55,"SUCCESSFUL","p",50,"b",0,40,"s",18,0,17,17,17,NA,NA,"",NA,1.467,373.577007000102,375.051572200144,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,375.051572200144,375.051572200144,375.051572200144,375.051572200144,375.051572200144,375.051572200144,375.051572200144,55,382.060088300146,382.060088300146,382.060088300146,382.060088300146,382.060088300146,382.060088300146,382.060088300146,382.060088300146,382.060088300146,382.060088300146,382.060088300146,382.060088300146,382.060088300146,382.060088300146,382.060088300146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,1,"2024-03-13_11h35.18.723","SELFtaskv6","2023.1.0",120.013585697234,NA,4
