"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","thisRow.t","notes","wait.started","scan.started","keyresp.started","wait.stopped","keyresp.keys","keyresp.rt","keyresp.duration","j1.started","jitter","polygon.started","polygon.stopped","j1.stopped","belief_pound.started","belief_pound.stopped","belief_rate.started","belief_rate.stopped","resp1.keys","slider.response","slider.rt","count_pound.started","Adjective_3.started","vowelcount.started","count_pound.stopped","vowel_choose.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","vowel_choose.stopped","resp.keys","resp.rt","resp.duration","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","resp1.duration","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","complete.started","note.started","complete.stopped","participant","session","date","expName","psychopyVersion","frameRate","expStart","X","np"
60,"SENSITIVE","n",45,"g",-40,80,"s",16,0,40,40,40,686.395418500004,NA,NA,NA,NA,NA,"",NA,"",686.387564199977,2.651,686.395418500004,689.059482100012,689.045170400001,689.045181499969,696.052591099986,696.052597799979,703.047028100002,"None","None","None",703.047120300005,NA,NA,703.051066399959,703.051083399972,NA,NA,NA,NA,NA,NA,NA,703.052062699979,"None",NA,"",689.059482100012,689.059482100012,689.059482100012,689.059482100012,689.059482100012,689.059482100012,689.059482100012,50,696.070612299955,696.070612299955,696.070612299955,696.070612299955,696.070612299955,696.070612299955,696.070612299955,696.070612299955,696.070612299955,696.070612299955,696.070612299955,696.070612299955,696.070612299955,696.070612299955,696.070612299955,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382,1,"2024-03-22_14h41.16.846","SELFtaskv6","2023.2.3",120.078435216053,"2024-03-22 14h41.23.128640 +1100",NA,1
20,"UNIMPORTANT","n",40,"b",-80,-240,"s",30,0,42,42,42,719.048524499987,NA,NA,NA,NA,NA,"",NA,"",719.042632600002,2.017,719.048524499987,721.07120169996,721.057888799987,721.057899200008,728.065326299984,728.065333299979,735.065425899986,"None","None","None",735.06551429996,NA,NA,735.069889999984,735.069898099988,NA,NA,NA,NA,NA,NA,NA,735.070910499955,"None",NA,"",721.07120169996,721.07120169996,721.07120169996,721.07120169996,721.07120169996,721.07120169996,721.07120169996,50,728.083831999975,728.083831999975,728.083831999975,728.083831999975,728.083831999975,728.083831999975,728.083831999975,728.083831999975,728.083831999975,728.083831999975,728.083831999975,728.083831999975,728.083831999975,728.083831999975,728.083831999975,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382,1,"2024-03-22_14h41.16.846","SELFtaskv6","2023.2.3",120.078435216053,"2024-03-22 14h41.23.128640 +1100",NA,1
50,"ORDINARY","n",45,"g",-40,0,"s",32,0,46,46,46,768.94640299998,NA,NA,NA,NA,NA,"",NA,"",768.944903899974,1,768.94640299998,769.955949799973,769.943559499981,769.9435696,776.950874799979,776.95088129997,783.950964299962,"None","None","None",783.951051299984,NA,NA,783.957048499957,783.957062800007,NA,NA,NA,NA,NA,NA,NA,783.958158899972,"None",NA,"",769.955949799973,769.955949799973,769.955949799973,769.955949799973,769.955949799973,769.955949799973,769.955949799973,50,776.969832199975,776.969832199975,776.969832199975,776.969832199975,776.969832199975,776.969832199975,776.969832199975,776.969832199975,776.969832199975,776.969832199975,776.969832199975,776.969832199975,776.969832199975,776.969832199975,776.969832199975,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382,1,"2024-03-22_14h41.16.846","SELFtaskv6","2023.2.3",120.078435216053,"2024-03-22 14h41.23.128640 +1100",NA,3
75,"INTELLIGENT","p",65,"b",120,200,"s",24,0,51,51,51,833.750899699982,NA,NA,NA,NA,NA,"",NA,"",833.744536099955,2.167,833.750899699982,835.924007499998,835.910498399986,835.910509699956,842.917665199959,842.917671600007,849.916129499965,"None","None","None",849.916222099971,NA,NA,849.921960799955,849.921969699964,NA,NA,NA,NA,NA,NA,NA,849.922949999978,"None",NA,"",835.924007499998,835.924007499998,835.924007499998,835.924007499998,835.924007499998,835.924007499998,835.924007499998,50,842.936057099956,842.936057099956,842.936057099956,842.936057099956,842.936057099956,842.936057099956,842.936057099956,842.936057099956,842.936057099956,842.936057099956,842.936057099956,842.936057099956,842.936057099956,842.936057099956,842.936057099956,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382,1,"2024-03-22_14h41.16.846","SELFtaskv6","2023.2.3",120.078435216053,"2024-03-22 14h41.23.128640 +1100",NA,3
25,"INFERIOR","n",30,"b",-160,-200,"s",23,0,50,50,50,818.579039299977,NA,NA,NA,NA,NA,"",NA,"",818.570982399979,1.167,818.579039299977,819.755512300006,819.737566499971,819.737576799991,826.744666199957,826.744672900008,833.738586499996,"None","None","None",833.738673699962,NA,NA,833.743410800002,833.743419000006,NA,NA,NA,NA,NA,NA,NA,833.744402499986,"None",NA,"",819.755512300006,819.755512300006,819.755512300006,819.755512300006,819.755512300006,819.755512300006,819.755512300006,50,826.763134799956,826.763134799956,826.763134799956,826.763134799956,826.763134799956,826.763134799956,826.763134799956,826.763134799956,826.763134799956,826.763134799956,826.763134799956,826.763134799956,826.763134799956,826.763134799956,826.763134799956,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382,1,"2024-03-22_14h41.16.846","SELFtaskv6","2023.2.3",120.078435216053,"2024-03-22 14h41.23.128640 +1100",NA,3
40,"ANNOYING","n",30,"g",-160,-80,"b",41,0,26,26,26,490.376823199971,NA,NA,NA,NA,NA,"",NA,"",490.373365500011,1.05,490.376823199971,491.434215099958,491.41997290001,491.419982699968,498.427079599991,498.427085599978,505.427257300005,"None","None","None",505.427346099983,NA,NA,505.433207499969,505.433222699969,NA,NA,NA,NA,NA,NA,NA,505.434386699984,"None",NA,"",491.434215099958,491.434215099958,491.434215099958,491.434215099958,491.434215099958,491.434215099958,491.434215099958,45,498.444659199973,498.444659199973,498.444659199973,498.444659199973,498.444659199973,498.444659199973,498.444659199973,498.444659199973,498.444659199973,498.444659199973,498.444659199973,498.444659199973,498.444659199973,498.444659199973,498.444659199973,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382,1,"2024-03-22_14h41.16.846","SELFtaskv6","2023.2.3",120.078435216053,"2024-03-22 14h41.23.128640 +1100",NA,5
70,"LIKABLE","p",60,"b",80,160,"b",7,0,30,30,30,545.096940499963,NA,NA,NA,NA,NA,"",NA,"",545.095278699999,2.117,545.096940499963,547.23062669998,547.212860799977,547.212870799995,554.220224299992,554.22023430001,561.220544799988,"None","None","None",561.22063289996,NA,NA,561.224059099972,561.22406779998,NA,NA,NA,NA,NA,NA,NA,561.224966599955,"None",NA,"",547.23062669998,547.23062669998,547.23062669998,547.23062669998,547.23062669998,547.23062669998,547.23062669998,50,554.238634999958,554.238634999958,554.238634999958,554.238634999958,554.238634999958,554.238634999958,554.238634999958,554.238634999958,554.238634999958,554.238634999958,554.238634999958,554.238634999958,554.238634999958,554.238634999958,554.238634999958,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382,1,"2024-03-22_14h41.16.846","SELFtaskv6","2023.2.3",120.078435216053,"2024-03-22 14h41.23.128640 +1100",NA,5
65,"CHEERFUL","p",50,"b",0,120,"b",10,0,13,13,13,311.483627699956,NA,NA,NA,NA,NA,"",NA,"",311.475728799996,1.3,311.483627699956,312.79188460001,312.775422099978,312.775432199996,319.782618800004,319.782625299995,326.778875699965,"None","None","None",326.778969599982,NA,NA,326.785532300011,326.785540100012,NA,NA,NA,NA,NA,NA,NA,326.786385499989,"None",NA,"",312.79188460001,312.79188460001,312.79188460001,312.79188460001,312.79188460001,312.79188460001,312.79188460001,50,319.801722000004,319.801722000004,319.801722000004,319.801722000004,319.801722000004,319.801722000004,319.801722000004,319.801722000004,319.801722000004,319.801722000004,319.801722000004,319.801722000004,319.801722000004,319.801722000004,319.801722000004,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382,1,"2024-03-22_14h41.16.846","SELFtaskv6","2023.2.3",120.078435216053,"2024-03-22 14h41.23.128640 +1100",NA,2
35,"WEAK","n",25,"g",-200,-120,"b",44,0,10,10,10,271.655265999958,NA,NA,NA,NA,NA,"",NA,"",271.64736599999,1.684,271.655265999958,273.343990099966,273.330394799996,273.330404899956,280.337509699981,280.337516599975,287.33098639996,"b","None","None",287.331098499999,NA,NA,287.33399959997,287.334007399972,NA,NA,NA,NA,NA,NA,NA,287.3347297,"None",NA,"",273.343990099966,273.343990099966,273.343990099966,273.343990099966,273.343990099966,273.343990099966,273.343990099966,40,280.355787099979,280.355787099979,280.355787099979,280.355787099979,280.355787099979,280.355787099979,280.355787099979,280.355787099979,280.355787099979,280.355787099979,280.355787099979,280.355787099979,280.355787099979,280.355787099979,280.355787099979,3.92395119997673,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382,1,"2024-03-22_14h41.16.846","SELFtaskv6","2023.2.3",120.078435216053,"2024-03-22 14h41.23.128640 +1100",NA,1
30,"ASHAMED","n",35,"b",-120,-160,"b",45,0,11,11,11,287.343816499982,NA,NA,NA,NA,NA,"",NA,"",287.334857899987,1.25,287.343816499982,288.599546699959,288.586849199957,288.58685849997,295.593963399995,295.593970099988,302.594601599965,"None","None","None",302.594690700003,NA,NA,302.598357599985,302.598365599988,NA,NA,NA,NA,NA,NA,NA,302.599240499956,"None",NA,"",288.599546699959,288.599546699959,288.599546699959,288.599546699959,288.599546699959,288.599546699959,288.599546699959,50,295.611527499976,295.611527499976,295.611527499976,295.611527499976,295.611527499976,295.611527499976,295.611527499976,295.611527499976,295.611527499976,295.611527499976,295.611527499976,295.611527499976,295.611527499976,295.611527499976,295.611527499976,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382,1,"2024-03-22_14h41.16.846","SELFtaskv6","2023.2.3",120.078435216053,"2024-03-22 14h41.23.128640 +1100",NA,3
